Company,Role,Team,Location,Job_URL
6sense,Sr. Treasury Analyst,Accounting,"Costa Rica, Remote",https://boards.greenhouse.io/6sense/jobs/4748052?gh_jid=4748052
6sense,AR Analyst,Accounting,"Costa Rica, Remote",https://boards.greenhouse.io/6sense/jobs/4590914?gh_jid=4590914
6sense,Strategic Business Development Representative (Hybrid),Business Development,"Austin, TX",https://boards.greenhouse.io/6sense/jobs/4774553?gh_jid=4774553
6sense,Strategic Business Development Representative (Hybrid),Business Development,"Austin, TX",https://boards.greenhouse.io/6sense/jobs/4863000?gh_jid=4863000
6sense,Market Development Representative (Hybrid),Business Development,"New York, NY",https://boards.greenhouse.io/6sense/jobs/4727821?gh_jid=4727821
6sense,MDR Manager,Business Development,"Austin, TX",https://boards.greenhouse.io/6sense/jobs/4834959?gh_jid=4834959
6sense,EMEA Business Development Representative (Hybrid),Business Development,"United Kingdom, Remote",https://boards.greenhouse.io/6sense/jobs/4890426?gh_jid=4890426
6sense,Enterprise Business Development Representative (Hybrid),Business Development,"New York, NY",https://boards.greenhouse.io/6sense/jobs/4752807?gh_jid=4752807
6sense,Enterprise Business Development Representative (Hybrid),Business Development,"New York, NY",https://boards.greenhouse.io/6sense/jobs/4805401?gh_jid=4805401
6sense,Market Development Representative (Hybrid),Business Development,"New York, NY",https://boards.greenhouse.io/6sense/jobs/4756744?gh_jid=4756744
6sense,Commercial Business Development Representative (Hybrid),Business Development,"New York, NY",https://boards.greenhouse.io/6sense/jobs/4865041?gh_jid=4865041
6sense,Commercial Business Development Representative (Hybrid),Business Development,"New York, NY",https://boards.greenhouse.io/6sense/jobs/4865040?gh_jid=4865040
6sense,Senior IT Support Specialist,Business Technology,"San Francisco, CA",https://boards.greenhouse.io/6sense/jobs/4840692?gh_jid=4840692
6sense,"Senior Manager, Commercial (East)",Commercial AE,"United States, Remote",https://boards.greenhouse.io/6sense/jobs/4840795?gh_jid=4840795
6sense,"Senior Manager, Commercial (West)",Commercial AE,"United States, Remote",https://boards.greenhouse.io/6sense/jobs/4840801?gh_jid=4840801
6sense,"Commercial Account Executive, Growth",Commercial AE,"United States, Remote",https://boards.greenhouse.io/6sense/jobs/4840520?gh_jid=4840520
6sense,"Senior Strategic Customer Success Manager, East",CSM Enterprise,"United States, Remote",https://boards.greenhouse.io/6sense/jobs/4801000?gh_jid=4801000
6sense,Sr. Customer Success Manager,CSM Enterprise,"United Kingdom, Remote",https://boards.greenhouse.io/6sense/jobs/4856739?gh_jid=4856739
6sense,"Sr. Manager, Customer Success",CSM Enterprise-Strategic,"United States, Remote",https://boards.greenhouse.io/6sense/jobs/4859816?gh_jid=4859816
6sense,"Customer Success Manager, Growth (West Region)",CSM Growth,"United States, Remote",https://boards.greenhouse.io/6sense/jobs/4865082?gh_jid=4865082
6sense,"Customer Success Manager, Commercial",CSM Growth,"United States, Remote",https://boards.greenhouse.io/6sense/jobs/4851967?gh_jid=4851967
6sense,Experience Management Developer,Customer Success- India,"India, Remote",https://boards.greenhouse.io/6sense/jobs/4846270?gh_jid=4846270
6sense,Experience Management Developer,Customer Success- India,"India, Remote",https://boards.greenhouse.io/6sense/jobs/4817508?gh_jid=4817508
6sense,CRM Developer,Engineering,"India, Remote",https://boards.greenhouse.io/6sense/jobs/4329918?gh_jid=4329918
6sense,EMEA Enterprise Account Executive,Enterprise AE,"London, UK",https://boards.greenhouse.io/6sense/jobs/4490355?gh_jid=4490355
6sense,"Enterprise Account Executive, Manufacturing",Enterprise AE Central,"New York, NY",https://boards.greenhouse.io/6sense/jobs/4613585?gh_jid=4613585
6sense,"Senior Software Engineer – Infrastructure, Cloud",Infra,India,https://boards.greenhouse.io/6sense/jobs/4117397?gh_jid=4117397
6sense,Lead Software Engineer – Infra,Infra,India,https://boards.greenhouse.io/6sense/jobs/4605397?gh_jid=4605397
6sense,"Director, Commercial Growth Sales",Leadership Sales,"United States, Remote",https://boards.greenhouse.io/6sense/jobs/4812291?gh_jid=4812291
6sense,"Enterprise Sales Leader, EMEA",Leadership Sales,"London, UK",https://boards.greenhouse.io/6sense/jobs/4081067?gh_jid=4081067
6sense,"Senior Director, Enterprise Sales (East)",Leadership Sales,"United States, Remote",https://boards.greenhouse.io/6sense/jobs/4848210?gh_jid=4848210
6sense,Senior Product Operations Specialist,Product Management Ops,Pune,https://boards.greenhouse.io/6sense/jobs/4762496?gh_jid=4762496
6sense,Senior Project Manager,Product Management Ops,India,https://boards.greenhouse.io/6sense/jobs/4900060?gh_jid=4900060
6sense,"Solutions Consultant, Commercial",Solutions Consultant,"United States, Remote",https://boards.greenhouse.io/6sense/jobs/4815036?gh_jid=4815036
6sense,Sr. Solutions Consultant EMEA,Solutions Consultant,"United Kingdom, Remote",https://boards.greenhouse.io/6sense/jobs/4893794?gh_jid=4893794
6sense,"Strategic Account Executive, East",Strategic AE,"New York, NY",https://boards.greenhouse.io/6sense/jobs/4663140?gh_jid=4663140
6sense,"Strategic Account Executive, West",Strategic AE,"United States, Remote",https://boards.greenhouse.io/6sense/jobs/4724594?gh_jid=4724594
