Company,Role,Team,Location,Job_URL
ActiveCampaign,Business Intelligence Manager,Business Intelligence,Chicago,https://www.activecampaign.com/about/careers/listing/business-intelligence/business-intelligence-manager-55d8b209-f681-47a6-828b-1e740089f868
ActiveCampaign,"Engineering Manager, Velocity",Business Technology Services,Indianapolis,https://www.activecampaign.com/about/careers/listing/business-technology-services/engineering-manager-velocity-697f1ada-9aba-461b-8232-59453c319af3
ActiveCampaign,"Front End Engineer, Growth",Business Technology Services,Chicago,https://www.activecampaign.com/about/careers/listing/business-technology-services/front-end-engineer-growth-c367d5d5-67af-4253-a3c3-a8bd5831294f
ActiveCampaign,"Front End Engineer, Partner Platform",Business Technology Services,Indianapolis,https://www.activecampaign.com/about/careers/listing/business-technology-services/front-end-engineer-partner-platform-724586bb-462b-47fc-bc75-eb8229c00f3c
ActiveCampaign,"Software Engineer (Back End), Partner Platform",Business Technology Services,Indianapolis,https://www.activecampaign.com/about/careers/listing/business-technology-services/software-engineer-back-end-partner-platform-3a5b447f-e118-49c5-85b7-81f2d7553310
ActiveCampaign,"Software Engineer (Full Stack), Internal Services Platform",Business Technology Services,Indianapolis,https://www.activecampaign.com/about/careers/listing/business-technology-services/software-engineer-full-stack-internal-services-platform-ef95dcc3-b5cc-4fac-aca3-e69c87eba743
ActiveCampaign,Customer Experience Specialist,Customer & Product Support,Costa Rica,https://www.activecampaign.com/about/careers/listing/customer-product-support/customer-experience-specialist-4fa5de83-9ce2-462b-8628-b6cb08e05c10
ActiveCampaign,"Customer Support Manager, Premier",Customer & Product Support,United States,https://www.activecampaign.com/about/careers/listing/customer-product-support/customer-support-manager-premier-39e7723f-1732-4130-a485-09c54cf93669
ActiveCampaign,Customer Support Specialist,Customer & Product Support,United States,https://www.activecampaign.com/about/careers/listing/customer-product-support/customer-support-specialist-0a6191b7-e97b-4b58-8655-faa2f30c3d54
ActiveCampaign,Customer Support Specialist,Customer & Product Support,Brazil,https://www.activecampaign.com/about/careers/listing/customer-product-support/customer-support-specialist-24ffc770-ace7-4296-9ff6-a944460eea1b
ActiveCampaign,Customer Support Specialist,Customer & Product Support,Dublin,https://www.activecampaign.com/about/careers/listing/customer-product-support/customer-support-specialist-f9cbb6bd-61f7-40da-9218-db58d85383af
