Company,Role,Team,Location,Job_URL
Branch,Tax and Financial Compliance Director,Finance and Accounting,"Columbus, Ohio",https://branch.pinpointhq.com/en/postings/39726731-d592-42ca-8adc-cc5176a33247
Branch,Agency Success Manager - Colorado,Independent Agency,United States,https://branch.pinpointhq.com/en/postings/fb023e40-91bc-4ef6-88e2-3ee3c4a086b1
Branch,Agency Success Manager - Kansas & Nebraska,Independent Agency,United States,https://branch.pinpointhq.com/en/postings/92e067e9-5745-4910-9160-9379a6ecf526
Branch,Agency Success Manager - Maryland & DC,Independent Agency,United States,https://branch.pinpointhq.com/en/postings/b180aaa9-de80-4982-b3a4-e780dba4b061
Branch,Agency Success Manager - South Dakota & Wyoming,Independent Agency,United States,https://branch.pinpointhq.com/en/postings/4967f230-2eb7-4046-8cb2-3e4f0922b3f0
Branch,Associate Agency Success Manager - Northeast Region,Independent Agency,United States,https://branch.pinpointhq.com/en/postings/517f0ed0-f480-4e6f-be07-6fd85131ea6f
Branch,Auto Claims Specialist - Bodily Injury (Ohio and Arizona),Claims,United States,https://branch.pinpointhq.com/en/postings/6dfd27c7-96b5-4ce7-8411-9180469ac8eb
Branch,Bilingual/Spanish Auto Claims Specialist,Claims,United States,https://branch.pinpointhq.com/en/postings/a06831ae-56f7-47f8-8ff5-f819a5db3179
Branch,"Claims Specialist, Auto (Ohio & Arizona)",Claims,"Columbus, Ohio",https://branch.pinpointhq.com/en/postings/b0c64216-3e24-403b-a7f5-4592de732f90
Branch,Data Analytics Intern (Summer 2023),Data and Business Analytics,United States,https://branch.pinpointhq.com/en/postings/3fe5f42f-15ba-4bfc-bfd9-f591819929b1
Branch,Finance Analyst,Finance and Accounting,"Columbus, Ohio",https://branch.pinpointhq.com/en/postings/65a9a0b4-3330-473e-aa0a-1e8489b533fa
Branch,Finance Lead - Product Performance,Finance and Accounting,"Columbus, Ohio",https://branch.pinpointhq.com/en/postings/72caade5-78cf-4a77-9db0-24e533e967ce
Branch,General Adjuster – Catastrophe Team,Claims,"Columbus, Ohio",https://branch.pinpointhq.com/en/postings/a702408f-0bf4-4cb5-b659-96e62eb934f7
Branch,Growth Marketing Intern,Marketing,United States,https://branch.pinpointhq.com/en/postings/8c982d85-bb16-4cd0-a4f4-27653b91818e
Branch,"Growth Product Manager, Referrals",Marketing,United States,https://branch.pinpointhq.com/en/postings/762bfd0f-8d72-46e3-8336-7b81bb30af61
Branch,Insurance Product Analyst,Insurance Product,"Columbus, Ohio",https://branch.pinpointhq.com/en/postings/292116c7-7f3e-4378-a0c2-97bb98ca0f85
Branch,Legal Operations Manager,Corporate,"Columbus, Ohio",https://branch.pinpointhq.com/en/postings/1e933866-5018-4e8c-aedd-1e0cb666ab53
Branch,Member Support Specialist,Sales & Service,United States,https://branch.pinpointhq.com/en/postings/a0c81d58-ba89-4a17-965d-68f4cae24b60
Branch,Production Designer,Marketing,United States,https://branch.pinpointhq.com/en/postings/9d55d7ed-0589-46d2-8404-cbfb3a57ae88
Branch,Project Strategy Manager,Operations,United States,https://branch.pinpointhq.com/en/postings/001dd387-539a-4d8e-81a4-e0feeaec646c
Branch,Sales Agent (Florida),Sales & Service,United States,https://branch.pinpointhq.com/en/postings/157c3967-dfac-4b2b-8f81-18f7dd304d43
Branch,"Senior Project Manager, Creative",Marketing,United States,https://branch.pinpointhq.com/en/postings/b1d86313-ad4d-4caf-92e8-5e8add97a3de
Branch,Special Investigation Unit Leader (SIU) - Insurance,Claims,"Columbus, Ohio",https://branch.pinpointhq.com/en/postings/26fb445f-0bed-497d-9cd8-c2d124af72d4
Branch,Unit Leader - Injury,Claims,United States,https://branch.pinpointhq.com/en/postings/3880dd9e-574e-4236-a846-9b96ab2abbaf
Branch,Unit Manager - Auto Physical Damage,Claims,"Columbus, Ohio",https://branch.pinpointhq.com/en/postings/eecc4f53-3ec8-402b-889a-f91ee4a87afb
