Company,Role,Team,Location,Job_URL
Canva,Talent Acquisition Partner - Global Contractor Hiring,Freelance & Contract,"Melbourne, Victoria, Australia",https://www.lifeatcanva.com/en/jobs/18127b54-23c3-4c37-9922-d05a4f7de955/talent-acquisition-partner-global-contractor-hiring/
Canva,Talent Acquisition Partner - Global Contractor Hiring,Freelance & Contract,"Sydney, New South Wales, Australia",https://www.lifeatcanva.com/en/jobs/b99d8868-f4c9-43a2-84fd-bcb06d570088/talent-acquisition-partner-global-contractor-hiring/
Canva,Senior UX/UI Design Reviewer,Design,"Manila, Philippines",https://www.lifeatcanva.com/en/jobs/b524c8d6-87d6-427e-931c-4516072111d5/senior-ux-ui-design-reviewer/
Canva,"Lead Content Designer, In Product-Help (AI / ML)",Design,"Brisbane, Queensland, Australia",https://www.lifeatcanva.com/en/jobs/9ac70868-00e6-4591-9e3d-c438e5ec06e6/lead-content-designer-in-product-help-ai-ml/
Canva,"Lead Content Designer, In Product-Help (AI / ML)",Design,"Auckland, New Zealand",https://www.lifeatcanva.com/en/jobs/4da24acc-ce27-4e73-a8e3-a4f2d925baec/lead-content-designer-in-product-help-ai-ml/
Canva,"Lead Content Designer, In Product-Help (AI / ML)",Design,"Melbourne, Victoria, Australia",https://www.lifeatcanva.com/en/jobs/2cec9f0b-a82b-4916-9af4-4eeffaad4e5f/lead-content-designer-in-product-help-ai-ml/
Canva,Cloud Networking Engineer - remote across Aus & NZ,Engineering,"Sydney, New South Wales, Australia",https://www.lifeatcanva.com/en/jobs/2347216b-2f23-4483-946e-94c9259f2787/cloud-networking-engineer-remote-across-aus-nz/
Canva,"Senior Product Marketing Manager, B2B (SMB/Self-Serve Teams)",Marketing,"Melbourne, Victoria, Australia",https://www.lifeatcanva.com/en/jobs/e833dcff-9783-4f83-9935-9db783b97cc4/senior-product-marketing-manager-b2b-smb-self-serve-teams/
Canva,"Senior Product Marketing Manager, B2B (SMB/Self-Serve Teams)",Marketing,"Sydney, New South Wales, Australia",https://www.lifeatcanva.com/en/jobs/ff4f7cdc-9764-4824-911a-f0c27d1b6556/senior-product-marketing-manager-b2b-smb-self-serve-teams/
Canva,Senior Backend Software Engineer - (Page Content & Delivery),Engineering,"Sydney, New South Wales, Australia",https://www.lifeatcanva.com/en/jobs/c2687c21-2ade-481b-b41f-bf30b063d3d6/senior-backend-software-engineer-page-content-delivery/
Canva,Lifecycle Marketing Specialist - Education,Marketing,"Manila, Philippines",https://www.lifeatcanva.com/en/jobs/01b2bad0-1487-4602-80d4-bfdeae07da30/lifecycle-marketing-specialist-education/
Canva,Education Sales Advocate,Sales & Success,"Sydney, New South Wales, Australia",https://www.lifeatcanva.com/en/jobs/d65a43d5-44f0-4fe4-afed-8a1b79f40102/education-sales-advocate/
Canva,Team Engineering Lead - Digital Marketing Foundations (FE),Engineering,"Sydney, New South Wales, Australia",https://www.lifeatcanva.com/en/jobs/91e730d3-51ae-4b50-8435-27e857169438/team-engineering-lead-digital-marketing-foundations-fe/
Canva,Freelance Content Specialist Lead | Mexico (remote),Freelance & Contract,"Mexico City, Mexico",https://www.lifeatcanva.com/en/jobs/908a9547-20b7-4035-ba85-b5b06529b423/freelance-content-specialist-lead-mexico-remote/
Canva,Design Research Lead - Product Growth,Design,"Auckland, New Zealand",https://www.lifeatcanva.com/en/jobs/5875bc8b-b014-47e6-954b-6139519365f6/design-research-lead-product-growth/
Canva,Design Research Lead - Product Growth,Design,"Melbourne, Victoria, Australia",https://www.lifeatcanva.com/en/jobs/3ad84d5f-e9cc-4b6f-9982-ff66e5c3b32c/design-research-lead-product-growth/
Canva,Design Research Lead - Product Growth,Design,"Sydney, New South Wales, Australia",https://www.lifeatcanva.com/en/jobs/e1b2cc3d-bd7b-4fc7-9ebe-920e6f1d7328/design-research-lead-product-growth/
Canva,Office Coordinator,Vibe,"Melbourne, Victoria, Australia",https://www.lifeatcanva.com/en/jobs/b1c74732-c4ad-4fcd-a95a-027b9d079e25/office-coordinator/
Canva,Technical Engineering Lead (FE) - Pro Growth (NZ remote),Engineering,"Auckland, New Zealand",https://www.lifeatcanva.com/en/jobs/c9274fcb-cf3a-4ece-82ba-d6ab748183b9/technical-engineering-lead-fe-pro-growth-nz-remote/
Canva,Technical Engineering Lead (FE) - Pro Growth (AU remote),Engineering,"Melbourne, Victoria, Australia",https://www.lifeatcanva.com/en/jobs/4f7da5f7-ff6e-423d-aa50-837261819ff4/technical-engineering-lead-fe-pro-growth-au-remote/
Canva,Security Engineering Manager - Security Partnerships,Engineering,"Sydney, New South Wales, Australia",https://www.lifeatcanva.com/en/jobs/dc803649-d25b-48de-8b82-37d4ebb5a2f0/security-engineering-manager-security-partnerships/
Canva,Senior Copy Lead,Design,"Manila, Philippines",https://www.lifeatcanva.com/en/jobs/2742abb5-2479-4280-899e-9022cde166ab/senior-copy-lead/
Canva,Head of Revenue FP&A,Finance & Legal,"San Francisco, California, United States",https://www.lifeatcanva.com/en/jobs/51348b11-f6df-45f5-bff7-ef3f2e45264f/head-of-revenue-fp-a/
Canva,Senior Creative Program Manager,Design,"Sydney, New South Wales, Australia",https://www.lifeatcanva.com/en/jobs/197c13a8-38ca-4bdc-ba7c-d5657dcc5a74/senior-creative-program-manager/
Canva,Talent Acquisition Partner (Project-Based),Freelance & Contract,"Manila, Philippines",https://www.lifeatcanva.com/en/jobs/34768a55-8c55-4ebc-b684-1d038a62e542/talent-acquisition-partner-project-based/
Canva,Freelance SEO Lead - Arabic Market - Germany (remote),Freelance & Contract,Germany,https://www.lifeatcanva.com/en/jobs/01515cdd-ffb8-4b0a-86f1-8e6ef67a0ce8/freelance-seo-lead-arabic-market-germany-remote/
Canva,Freelance SEO Lead - Arabic Market - France (remote),Freelance & Contract,"Paris, France",https://www.lifeatcanva.com/en/jobs/4445a302-c0f3-4aa3-9e27-6634bb90abd3/freelance-seo-lead-arabic-market-france-remote/
