Company,Role,Team,Location,Job_URL
Cedar,Join Cedar's Talent Community!,Cedar Talent Community,USA,https://cedar.com/open-roles/?gh_jid=4355177
Cedar,Data Scientist III / Lead (Product Analytics),Data Science,"New York, NY, United States",https://cedar.com/open-roles/?gh_jid=4821841
Cedar,Senior Software Engineer (Financial Engineering),Engineering,USA,https://cedar.com/open-roles/?gh_jid=4528698
Cedar,Senior Engineering Manager (Solutions Engineering),Engineering,USA,https://cedar.com/open-roles/?gh_jid=4656826
Cedar,"Technical Program Manager, Platforms",Engineering,"New York, NY, United States",https://cedar.com/open-roles/?gh_jid=4857786
Cedar,Senior Software Engineer (Cedar Pay),Engineering,USA,https://cedar.com/open-roles/?gh_jid=4877119
Cedar,Staff Engineer (Cedar Pay),Engineering,USA,https://cedar.com/open-roles/?gh_jid=4753046
Cedar,"People Experience & Culture, Workplace Lead",People,"New York, NY, United States",https://cedar.com/open-roles/?gh_jid=4797258
Cedar,Senior Product Manager (Payments),Product,USA,https://cedar.com/open-roles/?gh_jid=4704410
Cedar,"Director, Client Growth",Sales,USA,https://cedar.com/open-roles/?gh_jid=4767673
Cedar,"Manager, Client Growth",Sales,"New York, NY, United States",https://cedar.com/open-roles/?gh_jid=4761102
Cedar,"Director, Sales",Sales,USA,https://cedar.com/open-roles/?gh_jid=2195612
Cedar,"Director, Sales Operations & Analytics",Sales,USA,https://cedar.com/open-roles/?gh_jid=4891310
Cedar,"VP, Sales",Sales,USA,https://cedar.com/open-roles/?gh_jid=4632321
Cedar,"VP, Strategic Growth",Sales,USA,https://cedar.com/open-roles/?gh_jid=4888337
