Company,Role,Team,Location,Job_URL
ClickUp,"Technical Consultant, Professional Services",Customer Experience,United States,https://clickup.com/careers?gh_jid=4577064004
ClickUp,Sr. Solution Engineer,Customer Experience,Ireland; United Kingdom,https://clickup.com/careers?gh_jid=4783849004
ClickUp,Sr. Solution Engineer,Customer Experience,United States,https://clickup.com/careers?gh_jid=4804599004
ClickUp,"Architect, Data Platform",Engineering,United States; Canada,https://clickup.com/careers?gh_jid=4737060004
ClickUp,"Chief of Staff, Technology Org",Engineering,United States,https://clickup.com/careers?gh_jid=4509079004
ClickUp,"Chief of Staff, Technology Org",Engineering,Canada,https://clickup.com/careers?gh_jid=4807719004
ClickUp,"Fullstack Staff Engineer, User Platform",Engineering,United States; Canada ,https://clickup.com/careers?gh_jid=4761616004
ClickUp,"Principal Backend Engineer, Dashboard",Engineering,Poland; United Kingdom; Ireland; remote ,https://clickup.com/careers?gh_jid=4665656004
ClickUp,"Principal Backend Engineer, Data Platform",Engineering,United States,https://clickup.com/careers?gh_jid=4712294004
ClickUp,"Principal Backend Engineer, Data Platform",Engineering,Poland; United Kingdom; Ireland ,https://clickup.com/careers?gh_jid=4798119004
ClickUp,"Principal SRE/Architect, Cloud Platform",Engineering,Hybrid or Remote (San Diego or Salt Lake City),https://clickup.com/careers?gh_jid=4802890004
ClickUp,"Software Engineering Manager, DevX/Engineering Productivity",Engineering,United States; Canada,https://clickup.com/careers?gh_jid=4752416004
ClickUp,"Software Engineering Manager, Fields",Engineering,Poland; United Kingdom; Ireland,https://clickup.com/careers?gh_jid=4699373004
ClickUp,Sr DevOps / Cloud Solution Architect,Engineering,Poland; United Kingdom; Ireland; remote ,https://clickup.com/careers?gh_jid=4814092004
ClickUp,"Sr or Staff Backend/Fullstack Engineer, Search & Integrations",Engineering,United States; Canada,https://clickup.com/careers?gh_jid=4796719004
ClickUp,Staff AI & ML Engineer,Engineering,United States; Canada,https://clickup.com/careers?gh_jid=4813259004
ClickUp,Staff Front End Engineer,Engineering,United States; Canada,https://clickup.com/careers?gh_jid=4782434004
ClickUp,"Staff or Principal Frontend/Fullstack Engineer, Docs",Engineering,Poland; United States; ,https://clickup.com/careers?gh_jid=4737094004
ClickUp,Staff SRE (Staff Site Reliability Engineer),Engineering,United States; Canada,https://clickup.com/careers?gh_jid=4605707004
ClickUp,Sr Director/Head of Data Platform,Engineering,"San Diego (Hybrid), Remote (United States) ",https://clickup.com/careers?gh_jid=4687531004
ClickUp,Data Engineer,Finance,United States,https://clickup.com/careers?gh_jid=4744413004
ClickUp,"Senior Manager, Data Science",Growth,United States; Canada,https://clickup.com/careers?gh_jid=4389852004
ClickUp,Integration Engineer,IT,India,https://clickup.com/careers?gh_jid=4802116004
ClickUp,Lead Business Systems Analyst,IT,India,https://clickup.com/careers?gh_jid=4802119004
ClickUp,Sr. Salesforce Business Systems Analyst,IT,United States; Canada,https://clickup.com/careers?gh_jid=4734108004
ClickUp,Sr. Salesforce Developer,IT,India,https://clickup.com/careers?gh_jid=4802117004
ClickUp,Workday Analyst,IT,India ,https://clickup.com/careers?gh_jid=4802118004
ClickUp,"Principal Product Manager, Core Views",Product,United States; Canada,https://clickup.com/careers?gh_jid=4698902004
ClickUp,"Staff Product Manager, Automations",Product,United States; Canada,https://clickup.com/careers?gh_jid=4748060004
ClickUp,Senior Product Analyst,Product,United States,https://clickup.com/careers?gh_jid=4718976004
ClickUp,Account Executive - (German),Sales,"Dublin, Ireland ",https://clickup.com/careers?gh_jid=4230197004
ClickUp, Account Executive - Select (Spanish and Italian) ,Sales,Ireland; United Kingdom ,https://clickup.com/careers?gh_jid=4122829004
ClickUp,"Enterprise Account Executive, APAC ",Sales,Australia ,https://clickup.com/careers?gh_jid=4758101004
ClickUp,Growth Account Executive- APAC,Sales,Sydney,https://clickup.com/careers?gh_jid=4810182004
ClickUp,"Customer Support Specialist, Philippines",Support,Philippines,https://clickup.com/careers?gh_jid=4763111004
ClickUp,"Priority Support Specialist, Philippines",Support,Philippines,https://clickup.com/careers?gh_jid=4803098004
ClickUp,"Support Specialist, Accounts",Support,Philippines,https://clickup.com/careers?gh_jid=4783838004
ClickUp,"Technical Support Specialist, Philippines",Support,Philippines,https://clickup.com/careers?gh_jid=4799879004
