Company,Role,Team,Location,Job_URL
Cohesity,CAP Escalation Manager ,Customer Support ,  California,https://careers.cohesity.com/open-positions/?gh_jid=4875710
Cohesity,Implementation Practice Lead ,Customer Support ,"  Cork, Ireland (Office)",https://careers.cohesity.com/open-positions/?gh_jid=4747420
Cohesity,Site Reliability Engineer ,Customer Support ,"  Bangalore, India (Office)",https://careers.cohesity.com/open-positions/?gh_jid=4007846
Cohesity,Site Reliability Engineer (Data Protection and Storage Generalist) ,Customer Support ,  Costa Rica,https://careers.cohesity.com/open-positions/?gh_jid=4822533
Cohesity,Customer Success Manager (CSM) ,Customer Support ,  Costa Rica,https://careers.cohesity.com/open-positions/?gh_jid=4835376
Cohesity,Deployment Architect ,Customer Support ,"  Durham, NC (Office)",https://careers.cohesity.com/open-positions/?gh_jid=4730941
Cohesity,"Manager, Technical Account Manager ",Customer Support ,"  San Jose, CA (HQ)",https://careers.cohesity.com/open-positions/?gh_jid=4849003
Cohesity,Technical Account Manager (TAM) ,Customer Support ,  Costa Rica,https://careers.cohesity.com/open-positions/?gh_jid=4825293
Cohesity,"Sr. Analyst, Business Intelligence ",Field Operations,  Costa Rica,https://careers.cohesity.com/open-positions/?gh_jid=4828259
Cohesity,Channel Development Manager ,Field Operations,  Germany,https://careers.cohesity.com/open-positions/?gh_jid=4823106
Cohesity,Account Executive ,Field Operations,  Sweden,https://careers.cohesity.com/open-positions/?gh_jid=4897569
Cohesity,Account Executive ,Field Operations,"  Amsterdam, Netherlands",https://careers.cohesity.com/open-positions/?gh_jid=4483426
Cohesity,Account Executive ,Field Operations,  United Kingdom,https://careers.cohesity.com/open-positions/?gh_jid=4856126
Cohesity,Account Executive ,Field Operations,  Wisconsin,https://careers.cohesity.com/open-positions/?gh_jid=4734672
Cohesity,Account Executive - Federal DOD - Army ,Field Operations,  District of Columbia,https://careers.cohesity.com/open-positions/?gh_jid=4896239
Cohesity,"Account Executive, Federal DoD - USAF ",Field Operations,  District of Columbia,https://careers.cohesity.com/open-positions/?gh_jid=4833741
Cohesity,"Account Executive - Fed, Ottawa ",Field Operations,  Canada,https://careers.cohesity.com/open-positions/?gh_jid=4500666
Cohesity,"Account Executive (Mid-Market, CT) ",Field Operations,  United States,https://careers.cohesity.com/open-positions/?gh_jid=4895907
Cohesity,Account Executive (Mid-Market Iowa/Nebraska) ,Field Operations,  Nebraska,https://careers.cohesity.com/open-positions/?gh_jid=4895957
Cohesity,Account Executive (Northwest Select) ,Field Operations,  Washington,https://careers.cohesity.com/open-positions/?gh_jid=4468819
Cohesity,Account Executive - SLED (New England) ,Field Operations,  United States,https://careers.cohesity.com/open-positions/?gh_jid=4867872
Cohesity,Enterprise Account Executive ,Field Operations,"  Paris, France",https://careers.cohesity.com/open-positions/?gh_jid=4354787
Cohesity,Enterprise Account Executive ,Field Operations,"  Paris, France",https://careers.cohesity.com/open-positions/?gh_jid=4354797
Cohesity,Enterprise Account Executive (Arkansas) ,Field Operations,  Arkansas,https://careers.cohesity.com/open-positions/?gh_jid=4833796
Cohesity,"Enterprise Account Executive, Houston ",Field Operations,  Texas,https://careers.cohesity.com/open-positions/?gh_jid=4833811
Cohesity,Sales Development Representative ,Field Operations,  Germany,https://careers.cohesity.com/open-positions/?gh_jid=4868009
Cohesity,Sales Development Representative ,Field Operations,  France,https://careers.cohesity.com/open-positions/?gh_jid=4867906
Cohesity,Sales Engineer ,Field Operations,  Germany,https://careers.cohesity.com/open-positions/?gh_jid=4809169
Cohesity,"Senior Account Executive, Bay Area ",Field Operations,  California,https://careers.cohesity.com/open-positions/?gh_jid=4305183
Cohesity,"Sr Account Executive, Enterprise - New York City ",Field Operations,  New York,https://careers.cohesity.com/open-positions/?gh_jid=4467443
