Company,Role,Team,Location,Job_URL
Collibra,Head of Information Technology,Corporate IT,"New York, NY",https://www.collibra.com/us/en/company/careers/job-listing?gh_jid=4876924
Collibra,"Director, Premium Customer Support",Customer Success,"Remote, USA",https://www.collibra.com/us/en/company/careers/job-listing?gh_jid=4848856
Collibra,"Senior Manager, Software Engineering",Engineering,"Prague, CZ",https://www.collibra.com/us/en/company/careers/job-listing?gh_jid=4839072
Collibra,Senior Software Development Engineer in Test I,Engineering,"Wroclaw, PL",https://www.collibra.com/us/en/company/careers/job-listing?gh_jid=4862421
Collibra,Senior Software Engineer - Data Quality Cloud,Engineering,"Remote, Northeast USA",https://www.collibra.com/us/en/company/careers/job-listing?gh_jid=4823959
Collibra,Senior Software Engineer - Metadata Lake,Engineering,"Remote, Central USA",https://www.collibra.com/us/en/company/careers/job-listing?gh_jid=4842651
Collibra,Software Engineer - Data Quality Cloud,Engineering,"Remote, Central USA",https://www.collibra.com/us/en/company/careers/job-listing?gh_jid=4823938
Collibra,Staff Software Engineer - CICD,Engineering,"New York, NY",https://www.collibra.com/us/en/company/careers/job-listing?gh_jid=4903977
Collibra,"Staff Software Engineer, IAM",Engineering,"Remote, Northeast USA",https://www.collibra.com/us/en/company/careers/job-listing?gh_jid=4904906
Collibra,Global Indirect Tax Manager,Finance,"Remote, USA",https://www.collibra.com/us/en/company/careers/job-listing?gh_jid=4856945
Collibra,Senior Partner Marketing Manager,Marketing,"Remote, Northeast USA",https://www.collibra.com/us/en/company/careers/job-listing?gh_jid=4853455
Collibra,"Director, Global Benefits",People Team,"Remote, Northeast USA",https://www.collibra.com/us/en/company/careers/job-listing?gh_jid=4868733
Collibra,"Senior Diversity, Equity and Inclusion Manager",People Team,"Remote, Southeast USA",https://www.collibra.com/us/en/company/careers/job-listing?gh_jid=4858610
Collibra,Senior Product Manager,Product Management,"New York, NY",https://www.collibra.com/us/en/company/careers/job-listing?gh_jid=4735226
Collibra,Lead Data Quality Sales Engineer,Sales,"Remote, USA",https://www.collibra.com/us/en/company/careers/job-listing?gh_jid=4789938
Collibra,Senior Account Executive,Sales,"Melbourne, AU",https://www.collibra.com/us/en/company/careers/job-listing?gh_jid=4708316
Collibra,Senior Account Executive II,Sales,"Remote, Spain",https://www.collibra.com/us/en/company/careers/job-listing?gh_jid=4876695
Collibra,"Senior Partnership Account Manager, Public Sector",Sales,"Remote, Northeast USA",https://www.collibra.com/us/en/company/careers/job-listing?gh_jid=4896411
Collibra,Senior Strategic Account Executive,Sales,"Remote, Southeast USA",https://www.collibra.com/us/en/company/careers/job-listing?gh_jid=4841950
Collibra,"Strategic Account Executive, ASEAN",Sales,"Remote, Singapore",https://www.collibra.com/us/en/company/careers/job-listing?gh_jid=4708315
Collibra,Staff Security Engineer,Security and Compliance,"New York, NY",https://www.collibra.com/us/en/company/careers/job-listing?gh_jid=4870656
