Company,Role,Team,Location,Job_URL
Databricks,Sr. Executive Assistant,Administration,"San Francisco, California",https://www.databricks.com/company/careers/corporate-operations/sr-executive-assistant-6598736002
Databricks,Associate Technical Solutions Engineer,Customer Success,"Bengaluru, India",https://www.databricks.com/company/careers/support/associate-technical-solutions-engineer-6648133002
Databricks,Cloud Solutions Engineer (Full stack developer) -Emea Shift,Customer Success,"Bengaluru, India",https://www.databricks.com/company/careers/office-of-the-cco-team/cloud-solutions-engineer-full-stack-developer--emea-shift-6486076002
Databricks,Delivery Solutions Architect ,Customer Success,Israel,https://www.databricks.com/company/careers/customer-success-engineers/delivery-solutions-architect--6457618002
Databricks,Delivery Solutions Architect ,Customer Success,"Zürich, Switzerland",https://www.databricks.com/company/careers/customer-success-engineers/delivery-solutions-architect--6435016002
Databricks,Delivery Solutions Architect,Customer Success,"Paris, France",https://www.databricks.com/company/careers/customer-success-engineers/delivery-solutions-architect-6635889002
Databricks,Delivery Solutions Architect,Customer Success,"Paris, France",https://www.databricks.com/company/careers/customer-success-engineers/delivery-solutions-architect-6632167002
Databricks,Delivery Solutions Architect,Customer Success,Canada,https://www.databricks.com/company/careers/customer-success-engineers/delivery-solutions-architect-6630275002
Databricks,Delivery Solutions Architect,Customer Success,"Bengaluru, India",https://www.databricks.com/company/careers/customer-success-engineers/delivery-solutions-architect-6409680002
Databricks,Delivery Solutions Architect - Data / AI,Customer Success,"Mumbai, India",https://www.databricks.com/company/careers/customer-success-engineers/delivery-solutions-architect---data---ai-6630951002
Databricks,Delivery Solutions Architect - Data / AI,Customer Success,"Bengaluru, India",https://www.databricks.com/company/careers/customer-success-engineers/delivery-solutions-architect---data---ai-6631004002
Databricks,Delivery Solutions Architect : Data & AI,Customer Success,"Bengaluru, India",https://www.databricks.com/company/careers/customer-success-engineers/delivery-solutions-architect--data--ai-6185364002
Databricks,"Delivery Solutions Architect, Japan",Customer Success,"Tokyo, Japan",https://www.databricks.com/company/careers/customer-success-engineers/delivery-solutions-architect-japan-6631078002
Databricks,Lead Delivery Solutions Architect,Customer Success,"Seoul, South Korea",https://www.databricks.com/company/careers/customer-success-engineers/lead-delivery-solutions-architect-6441050002
Databricks,Platform Technical Solutions Engineer,Customer Success,"Bengaluru, India",https://www.databricks.com/company/careers/support/platform-technical-solutions-engineer-6625873002
Databricks,Senior Delivery Solutions Architect ,Customer Success,"Stockholm, Sweden",https://www.databricks.com/company/careers/customer-success-engineers/senior-delivery-solutions-architect--6170515002
Databricks,Senior Delivery Solutions Architect,Customer Success,"London, United Kingdom",https://www.databricks.com/company/careers/customer-success-engineers/senior-delivery-solutions-architect-6631247002
Databricks,Senior Delivery Solutions Architect,Customer Success,"London, United Kingdom",https://www.databricks.com/company/careers/customer-success-engineers/senior-delivery-solutions-architect-6632169002
Databricks,Senior Delivery Solutions Architect,Customer Success,"Amsterdam, Netherlands",https://www.databricks.com/company/careers/customer-success-engineers/senior-delivery-solutions-architect-6635887002
Databricks,Senior Incident Manager,Customer Success,Costa Rica,https://www.databricks.com/company/careers/support/senior-incident-manager-6588529002
Databricks,Spark Technical Solutions Engineer,Customer Success,"Bengaluru, India",https://www.databricks.com/company/careers/support-engineering/spark-technical-solutions-engineer-5384726002
Databricks,Spark Technical Solutions Engineer,Customer Success,"Bengaluru, India",https://www.databricks.com/company/careers/support/spark-technical-solutions-engineer-6581340002
Databricks,Sr NOC Engineer ,Customer Success,"Bengaluru, India",https://www.databricks.com/company/careers/support/sr-noc-engineer--6625617002
Databricks,Sr. Backline Engineer - Platform ,Customer Success,United States,https://www.databricks.com/company/careers/support/sr-backline-engineer---platform--6489160002
Databricks,Sr. Delivery Solutions Architect,Customer Success,"Sydney, Australia",https://www.databricks.com/company/careers/customer-success-engineers/sr-delivery-solutions-architect-6630953002
Databricks,Sr. Delivery Solutions Architect,Customer Success,Singapore,https://www.databricks.com/company/careers/customer-success-engineers/sr-delivery-solutions-architect-6042920002
Databricks,Sr. Technical Solutions Engineer,Customer Success,"Plano, Texas",https://www.databricks.com/company/careers/support/sr-technical-solutions-engineer-6603555002
Databricks,Technical Solutions Engineer,Customer Success,Costa Rica,https://www.databricks.com/company/careers/support/technical-solutions-engineer-6584881002
Databricks,Engineering Manager,Engineering,"Seattle, Washington",https://www.databricks.com/company/careers/engineering/engineering-manager-5627916002
Databricks,Engineering Manager - Backend,Engineering,"Amsterdam, Netherlands",https://www.databricks.com/company/careers/engineering/engineering-manager---backend-5313313002
Databricks,Engineering Manager - Distributed Data Systems,Engineering,"Berlin, Germany",https://www.databricks.com/company/careers/engineering/engineering-manager---distributed-data-systems-5487413002
Databricks,Engineering Manager - Distributed Data Systems,Engineering,"Amsterdam, Netherlands",https://www.databricks.com/company/careers/engineering/engineering-manager---distributed-data-systems-4140440002
Databricks,Engineering Manager - Machine Learning Platform,Engineering,"San Francisco, California",https://www.databricks.com/company/careers/engineering/engineering-manager---machine-learning-platform-4564630002
Databricks,Engineering Manager - Machine Learning Platform,Engineering,"Mountain View, California",https://www.databricks.com/company/careers/engineering/engineering-manager---machine-learning-platform-6544426002
Databricks,Engineering Manager - Runtime,Engineering,"San Francisco, California",https://www.databricks.com/company/careers/engineering/engineering-manager---runtime-4272334002
Databricks,Engineering Manager - Runtime,Engineering,"Mountain View, California",https://www.databricks.com/company/careers/engineering/engineering-manager---runtime-6544432002
Databricks,Fullstack Engineer (L4),Engineering,"San Francisco, California",https://www.databricks.com/company/careers/engineering/fullstack-engineer-l4-4477020002
Databricks,Fullstack Engineer (L4),Engineering,"Seattle, Washington",https://www.databricks.com/company/careers/engineering/fullstack-engineer-l4-6544393002
Databricks,Senior Machine Learning Engineer,Engineering,"San Francisco, California",https://www.databricks.com/company/careers/engineering/senior-machine-learning-engineer-6630933002
Databricks,Senior Software Engineer - Backend,Engineering,"San Francisco, California",https://www.databricks.com/company/careers/engineering/senior-software-engineer---backend-4799387002
Databricks,Senior Software Engineer - Backend,Engineering,"Mountain View, California",https://www.databricks.com/company/careers/engineering/senior-software-engineer---backend-6544435002
Databricks,Senior Software Engineer - Database Engine Internals,Engineering,"San Francisco, California",https://www.databricks.com/company/careers/engineering/senior-software-engineer---database-engine-internals-5048461002
Databricks,Senior Software Engineer - Database Engine Internals,Engineering,"Berlin, Germany",https://www.databricks.com/company/careers/engineering/senior-software-engineer---database-engine-internals-5487431002
Databricks,Senior Software Engineer - Distributed Data Systems,Engineering,"San Francisco, California",https://www.databricks.com/company/careers/engineering/senior-software-engineer---distributed-data-systems-4513122002
Databricks,Senior Software Engineer - Frontend,Engineering,"Seattle, Washington",https://www.databricks.com/company/careers/engineering/senior-software-engineer---frontend-6544398002
Databricks,Senior Software Engineer - Frontend,Engineering,"San Francisco, California",https://www.databricks.com/company/careers/engineering/senior-software-engineer---frontend-5087181002
Databricks,Senior Software Engineer - Fullstack,Engineering,"Seattle, Washington",https://www.databricks.com/company/careers/engineering/senior-software-engineer---fullstack-6544403002
Databricks,Senior Software Engineer - Fullstack,Engineering,"San Francisco, California",https://www.databricks.com/company/careers/engineering/senior-software-engineer---fullstack-5445641002
Databricks,Senior Software Engineer - Infrastructure and Tools,Engineering,"San Francisco, California",https://www.databricks.com/company/careers/engineering/senior-software-engineer---infrastructure-and-tools-6318503002
Databricks,Software Engineer - Backend,Engineering,"Mountain View, California",https://www.databricks.com/company/careers/engineering/software-engineer---backend-6544439002
Databricks,Software Engineer - Backend,Engineering,"San Francisco, California",https://www.databricks.com/company/careers/engineering/software-engineer---backend-4507262002
Databricks,Software Engineer - Frontend,Engineering,"San Francisco, California",https://www.databricks.com/company/careers/engineering/software-engineer---frontend-5445622002
Databricks,Software Engineer - Frontend,Engineering,"Seattle, Washington",https://www.databricks.com/company/careers/engineering/software-engineer---frontend-6544408002
Databricks,Sr. Engineering Manager ,Engineering,"Mountain View, California",https://www.databricks.com/company/careers/engineering/sr-engineering-manager--6544429002
Databricks,Sr. Engineering Manager ,Engineering,"San Francisco, California",https://www.databricks.com/company/careers/engineering/sr-engineering-manager--4277440002
Databricks,Sr. Software Engineer - Performance ,Engineering,"San Francisco, California",https://www.databricks.com/company/careers/engineering/sr-software-engineer---performance--6569772002
Databricks,Sr. Software Engineer - Performance,Engineering,"Mountain View, California",https://www.databricks.com/company/careers/engineering/sr-software-engineer---performance-6569774002
Databricks,Staff Applied Machine Learning Engineer,Engineering,"San Francisco, California",https://www.databricks.com/company/careers/engineering/staff-applied-machine-learning-engineer-6411024002
Databricks,Staff Data Scientist ,Engineering,"San Francisco, California",https://www.databricks.com/company/careers/engineering/staff-data-scientist--5507088002
Databricks,Staff Software Engineer - Backend,Engineering,"San Francisco, California",https://www.databricks.com/company/careers/engineering/staff-software-engineer---backend-5408888002
Databricks,Staff Software Engineer - Backend,Engineering,"Amsterdam, Netherlands",https://www.databricks.com/company/careers/engineering/staff-software-engineer---backend-4508014002
Databricks,Staff Software Engineer - Backend,Engineering,"Mountain View, California",https://www.databricks.com/company/careers/engineering/staff-software-engineer---backend-6544443002
Databricks,Staff Software Engineer - Data Platform,Engineering,"San Francisco, California",https://www.databricks.com/company/careers/engineering/staff-software-engineer---data-platform-5502669002
Databricks,Staff Software Engineer - Fullstack,Engineering,"Amsterdam, Netherlands",https://www.databricks.com/company/careers/engineering/staff-software-engineer---fullstack-4509540002
Databricks,"AVP, Field Engineering",Field Engineering,"Munich, Germany",https://www.databricks.com/company/careers/exec-field-engineering/avp-field-engineering-6566448002
Databricks,Data Architect - Solutions Engineering,Field Engineering,"Mumbai, India",https://www.databricks.com/company/careers/field-engineering/data-architect---solutions-engineering-6578975002
Databricks,Lead Solutions Architect - Data / AI,Field Engineering,"Bengaluru, India",https://www.databricks.com/company/careers/field-engineering/lead-solutions-architect---data---ai-6631086002
Databricks,"Manager, Field Engineering",Field Engineering,Israel,https://www.databricks.com/company/careers/field-engineering/manager-field-engineering-6567891002
Databricks,"Manager, Field Engineering",Field Engineering,"Paris, France",https://www.databricks.com/company/careers/field-engineering/manager-field-engineering-6647392002
Databricks,"Manager, Solutions Architect",Field Engineering,Singapore,https://www.databricks.com/company/careers/field-engineering/manager-solutions-architect-6422314002
Databricks,Pre-Sales Solutions Architect (Energy & Utilities),Field Engineering,"London, United Kingdom",https://www.databricks.com/company/careers/field-engineering/pre-sales-solutions-architect-energy--utilities-6618192002
Databricks,Pre-Sales Solutions Architect (Healthcare & Life Sciences),Field Engineering,"London, United Kingdom",https://www.databricks.com/company/careers/field-engineering/pre-sales-solutions-architect-healthcare--life-sciences-6642480002
Databricks,"Pre-Sales Solutions Architect (Telecom, Media, Entertainment)",Field Engineering,"London, United Kingdom",https://www.databricks.com/company/careers/field-engineering/pre-sales-solutions-architect-telecom-media-entertainment-6642482002
Databricks,Pre-sales Engineer,Field Engineering,"Paris, France",https://www.databricks.com/company/careers/field-engineering/pre-sales-engineer-6429548002
Databricks,Pre-sales Solutions Architect ,Field Engineering,"London, United Kingdom",https://www.databricks.com/company/careers/field-engineering/pre-sales-solutions-architect--6407996002
Databricks,Senior Pre-Sales Solutions Architect (Financial Services),Field Engineering,"London, United Kingdom",https://www.databricks.com/company/careers/field-engineering/senior-pre-sales-solutions-architect-financial-services-6643308002
Databricks,Senior Pre-Sales Solutions Architect - Financial Services ,Field Engineering,"London, United Kingdom",https://www.databricks.com/company/careers/field-engineering/senior-pre-sales-solutions-architect---financial-services--6572051002
Databricks,Senior Presales Architect - Big Data,Field Engineering,"Mumbai, India",https://www.databricks.com/company/careers/field-engineering/senior-presales-architect---big-data-6578972002
Databricks,Senior Solutions Architect,Field Engineering,"Paris, France",https://www.databricks.com/company/careers/field-engineering/senior-solutions-architect-6620669002
Databricks,Senior Solutions Architect,Field Engineering,"Amsterdam, Netherlands",https://www.databricks.com/company/careers/field-engineering/senior-solutions-architect-6595714002
Databricks,Senior Solutions Architect,Field Engineering,"Munich, Germany",https://www.databricks.com/company/careers/field-engineering/senior-solutions-architect-6374880002
Databricks,Senior Solutions Architect : Data & AI,Field Engineering,"Bengaluru, India",https://www.databricks.com/company/careers/field-engineering/senior-solutions-architect--data--ai-6631088002
Databricks,Senior Solutions Architect : Data & AI,Field Engineering,"Mumbai, India",https://www.databricks.com/company/careers/field-engineering/senior-solutions-architect--data--ai-6578976002
Databricks,Senior Specialist Solutions Architect,Field Engineering,"Zürich, Switzerland",https://www.databricks.com/company/careers/field-engineering/senior-specialist-solutions-architect-6579050002
Databricks,Solutions Architect,Field Engineering,"Paris, France",https://www.databricks.com/company/careers/field-engineering/solutions-architect-6648246002
Databricks,Solutions Architect,Field Engineering,Remote - Ohio,https://www.databricks.com/company/careers/field-engineering/solutions-architect-5401457002
Databricks,Solutions Architect,Field Engineering,"Montréal, Canada",https://www.databricks.com/company/careers/field-engineering/solutions-architect-5898477002
Databricks,Solutions Architect,Field Engineering,"Tokyo, Japan",https://www.databricks.com/company/careers/field-engineering/solutions-architect-6631080002
Databricks,Solutions Architect,Field Engineering,Spain,https://www.databricks.com/company/careers/field-engineering/solutions-architect-6572052002
Databricks,Solutions Architect,Field Engineering,"Seoul, South Korea",https://www.databricks.com/company/careers/field-engineering/solutions-architect-6632957002
Databricks,Solutions Architect,Field Engineering,"Sydney, Australia",https://www.databricks.com/company/careers/field-engineering/solutions-architect-6631084002
Databricks,Solutions Architect,Field Engineering,"Zürich, Switzerland",https://www.databricks.com/company/careers/field-engineering/solutions-architect-6577274002
Databricks,Solutions Architect  - Enterprise (Big Data/AI),Field Engineering,"Bengaluru, India",https://www.databricks.com/company/careers/field-engineering/solutions-architect----enterprise-big-data-ai-6578992002
Databricks,"Solutions Architect - Communications, Media, Entertainment",Field Engineering,"Atlanta, Georgia",https://www.databricks.com/company/careers/field-engineering/solutions-architect---communications-media-entertainment-6117756002
Databricks,Solutions Architect - Digital Native,Field Engineering,"London, United Kingdom",https://www.databricks.com/company/careers/field-engineering/solutions-architect---digital-native-6620671002
Databricks,Solutions Architect - Digital Native Business,Field Engineering,"Seattle, Washington; Portland, Oregon; San Francisco, California; Los Angeles, California; Austin, Texas; Dallas, Texas; Houston; Texas; Boston, Massachusetts; New York, New York; Washington, DC; Atlanta, Georgia",https://www.databricks.com/company/careers/field-engineering/solutions-architect---digital-native-business-6117719002
Databricks,"Solutions Architect - Financial Services, Benelux",Field Engineering,"Amsterdam, Netherlands",https://www.databricks.com/company/careers/field-engineering/solutions-architect---financial-services-benelux-6595715002
Databricks,Solutions Architect - Germany,Field Engineering,"Munich, Germany",https://www.databricks.com/company/careers/field-engineering/solutions-architect---germany-6618193002
Databricks,Solutions Architect - Healthcare/Life Sciences Team (HLS),Field Engineering,"San Francisco, CA",https://www.databricks.com/company/careers/field-engineering/solutions-architect---healthcare-life-sciences-team-hls-5964576002
Databricks,Solutions Architect - Healthcare/Life Sciences Team (HLS),Field Engineering,Remote - California,https://www.databricks.com/company/careers/field-engineering/solutions-architect---healthcare-life-sciences-team-hls-5964575002
Databricks,Solutions Architect - Healthcare/Life Sciences Team (HLS),Field Engineering,Remote - Georgia,https://www.databricks.com/company/careers/field-engineering/solutions-architect---healthcare-life-sciences-team-hls-5401456002
Databricks,Solutions Architect - Healthcare/Life Sciences Team (HLS),Field Engineering,Remote - Illinois,https://www.databricks.com/company/careers/field-engineering/solutions-architect---healthcare-life-sciences-team-hls-5964571002
Databricks,Solutions Architect - LATAM Accounts,Field Engineering,Brazil,https://www.databricks.com/company/careers/field-engineering/solutions-architect---latam-accounts-6356702002
Databricks,Solutions Architect - LATAM Accounts,Field Engineering,Brazil,https://www.databricks.com/company/careers/field-engineering/solutions-architect---latam-accounts-6390549002
Databricks,Solutions Architect - Manufacturing,Field Engineering,United States,https://www.databricks.com/company/careers/field-engineering/solutions-architect---manufacturing-6156173002
Databricks,Solutions Architect - Retail,Field Engineering,West Coast - United States,https://www.databricks.com/company/careers/field-engineering/solutions-architect---retail-6456686002
Databricks,Solutions Architect - Retail,Field Engineering,United States,https://www.databricks.com/company/careers/field-engineering/solutions-architect---retail-6049142002
Databricks,Solutions Architect - SLED ,Field Engineering,Remote - Washington D.C.,https://www.databricks.com/company/careers/field-engineering/solutions-architect---sled--6589883002
Databricks,"Solutions Architect, Data & AI",Field Engineering,"Tokyo, Japan",https://www.databricks.com/company/careers/field-engineering/solutions-architect-data--ai-6578973002
Databricks,Solutions Architect- Financial Services,Field Engineering,United States,https://www.databricks.com/company/careers/field-engineering/solutions-architect--financial-services-5871565002
Databricks,Solutions Architect- Financial Services,Field Engineering,"New York City, New York",https://www.databricks.com/company/careers/field-engineering/solutions-architect--financial-services-5898639002
Databricks,Solutions Architect- Financial Services,Field Engineering,"Chicago, IL",https://www.databricks.com/company/careers/field-engineering/solutions-architect--financial-services-5901143002
Databricks,Solutions Architect- Financial Services,Field Engineering,"Boston, MA",https://www.databricks.com/company/careers/field-engineering/solutions-architect--financial-services-5901142002
Databricks,Specialist Solutions Architect,Field Engineering,Northeast - United States,https://www.databricks.com/company/careers/field-engineering/specialist-solutions-architect-6558237002
