Company,Role,Team,Location,Job_URL
Dataiku,Customer Success Manager,Customer Success,Americas,https://www.dataiku.com/careers/job?id=4735707004
Dataiku,Customer Success Manager - Enterprise,Customer Success,"France, Paris",https://www.dataiku.com/careers/job?id=4779659004
Dataiku,"Customer Success Manager, LATAM",Customer Success,"United States, Miami",https://www.dataiku.com/careers/job?id=4796369004
Dataiku,"Sr Engagement Manager, Central",Customer Success,"United States, Chicago",https://www.dataiku.com/careers/job?id=4753395004
Dataiku,Fullstack Software Engineer - Business Solution - Paris or Remote France,Engineering,"France, Paris",https://www.dataiku.com/careers/job?id=4666026004
Dataiku,Fullstack Software Engineer Onboarding eXperience - Paris or Remote France,Engineering,"France, Remote",https://www.dataiku.com/careers/job?id=4494696004
Dataiku,Junior Software Developer Engineer in Test,Engineering,"France, Paris",https://www.dataiku.com/careers/job?id=4536527004
Dataiku,Senior Infrastructure Engineer,Engineering,"France, Paris",https://www.dataiku.com/careers/job?id=4811201004
Dataiku,Senior Software engineer AI & Machine Learning - Paris or Remote France,Engineering,"France, Paris",https://www.dataiku.com/careers/job?id=4665589004
Dataiku,Senior Software Engineer Dataiku Cloud - Paris or Remote France,Engineering,"France, Paris",https://www.dataiku.com/careers/job?id=4652320004
Dataiku,Senior Software Engineer MLOps - London or Remote UK,Engineering,"United Kingdom, London",https://www.dataiku.com/careers/job?id=4489150004
Dataiku,Senior Software engineer MLOps - Paris or Remote France,Engineering,"France, Paris",https://www.dataiku.com/careers/job?id=4665599004
Dataiku,Site Reliability Engineer,Engineering,"France, Paris",https://www.dataiku.com/careers/job?id=4725860004
Dataiku,Software Developer Engineer in Test,Engineering,"France, Paris",https://www.dataiku.com/careers/job?id=4536551004
Dataiku,Software Engineer AI Governance - Paris or Remote France,Engineering,"France, Paris",https://www.dataiku.com/careers/job?id=4652554004
Dataiku,Software Engineer Data Preparation - Paris or Remote France,Engineering,"France, Paris",https://www.dataiku.com/careers/job?id=4652501004
Dataiku,Software Engineer Data Presentation - Paris or Remote France,Engineering,"France, Paris",https://www.dataiku.com/careers/job?id=4663254004
Dataiku,Software Engineer Data Visualization - Paris or Remote France,Engineering,"France, Paris",https://www.dataiku.com/careers/job?id=4652563004
Dataiku,Software Engineer - EMEA,Engineering,"Europe, Middle East, and Africa",https://www.dataiku.com/careers/job?id=4468466004
Dataiku,Software Engineer Intern - AI Governance,Engineering,"France, Paris",https://www.dataiku.com/careers/job?id=4774359004
Dataiku,Software Engineer Intern - Data Relationship,Engineering,"France, Paris",https://www.dataiku.com/careers/job?id=4774355004
Dataiku,Software Engineer Internship - Model interpretability & Responsible AI,Engineering,"France, Paris",https://www.dataiku.com/careers/job?id=4760342004
Dataiku,Software Engineer in Test Intern,Engineering,"France, Paris",https://www.dataiku.com/careers/job?id=4783268004
Dataiku,Software engineer Platform - Paris or Remote France,Engineering,"France, Paris",https://www.dataiku.com/careers/job?id=4663226004
Dataiku,Cloud Engineer,Field Engineering,"Japan, Tokyo",https://www.dataiku.com/careers/job?id=4489148004
Dataiku,Pre-Sales Solutions Architect,Field Engineering,"United States, San Francisco",https://www.dataiku.com/careers/job?id=4729317004
Dataiku,Financial Systems Manager,Finance,"United States, Remote",https://www.dataiku.com/careers/job?id=4720073004
Dataiku,Manager of Technical Accounting,Finance,"United States, New York",https://www.dataiku.com/careers/job?id=4709063004
Dataiku,Senior Global Account Payable Specialist,Finance,"France, Remote",https://www.dataiku.com/careers/job?id=4803858004
Dataiku,"VP, Corporate Controller",Finance,"United States, Remote",https://www.dataiku.com/careers/job?id=4747430004
Dataiku,General Opportunities,General Opportunities,None,https://www.dataiku.com/careers/job?id=4365547004
Dataiku,"Legal Director, Compliance & Litigation",Legal,"United States, Remote",https://www.dataiku.com/careers/job?id=4791373004
Dataiku,"VP & Deputy General Counsel, Global Commercial Legal",Legal,"United States, Remote",https://www.dataiku.com/careers/job?id=4786677004
Dataiku,Marketing Intern - German Speaking,Marketing,"Germany, Munich",https://www.dataiku.com/careers/job?id=4807450004
Dataiku,Senior Marketing Manager,Marketing,"United States, New York",https://www.dataiku.com/careers/job?id=4796826004
Dataiku,Southern Europe Marketing Specialist,Marketing,"France, Paris",https://www.dataiku.com/careers/job?id=4804965004
Dataiku,"Director, PBPs, EMEA",People,"France, Paris",https://www.dataiku.com/careers/job?id=4777293004
Dataiku,AI Evangelist,Sales,"Germany, Frankfurt",https://www.dataiku.com/careers/job?id=4755399004
Dataiku,Account Executive,Sales,"United States, Remote",https://www.dataiku.com/careers/job?id=4490376004
Dataiku,"Enterprise Account Executive, Boston",Sales,"United States, Boston",https://www.dataiku.com/careers/job?id=4715231004
Dataiku,"Enterprise Account Executive, Central",Sales,"United States, Chicago",https://www.dataiku.com/careers/job?id=4490395004
Dataiku,"Enterprise Account Executive, New York",Sales,"United States, New York",https://www.dataiku.com/careers/job?id=4715230004
Dataiku,"Enterprise Account Executive, Northeast",Sales,"United States, Remote",https://www.dataiku.com/careers/job?id=4526993004
Dataiku,"Enterprise Account Executive, Philadelphia",Sales,"United States, Philadelphia",https://www.dataiku.com/careers/job?id=4715233004
Dataiku,"Enterprise Account Executive, Texas",Sales,"United States, Austin",https://www.dataiku.com/careers/job?id=4529674004
Dataiku,"Enterprise Account Executive, West",Sales,"United States, Austin",https://www.dataiku.com/careers/job?id=4527046004
Dataiku,"Strategic Account Executive, Boston",Sales,"United States, Boston",https://www.dataiku.com/careers/job?id=4715223004
Dataiku,Strategic Account Executive - Central,Sales,"United States, Chicago",https://www.dataiku.com/careers/job?id=4490408004
Dataiku,"Strategic Account Executive, New York",Sales,"United States, New York",https://www.dataiku.com/careers/job?id=4715222004
Dataiku,"Strategic Account Executive, Northeast",Sales,"United States, New York",https://www.dataiku.com/careers/job?id=4526962004
Dataiku,"Strategic Account Executive, Philadelphia",Sales,"United States, Philadelphia",https://www.dataiku.com/careers/job?id=4529690004
Dataiku,Business Development Representative - DACH,Sales,"United Kingdom, London",https://www.dataiku.com/careers/job?id=4790954004
Dataiku,Business Development Representative - Denver,Sales,"United States, Denver",https://www.dataiku.com/careers/job?id=4799736004
Dataiku,Partner GTM Leader DACH & Benelux,Sales,"Germany, Frankfurt",https://www.dataiku.com/careers/job?id=4615012004
Dataiku,Partner GTM Leader UK,Sales,"United Kingdom, London",https://www.dataiku.com/careers/job?id=4729202004
Dataiku,Content Strategist Intern,Strategy & Operations,"France, Paris",https://www.dataiku.com/careers/job?id=4815411004
Dataiku,Industry Analyst Intern,Strategy & Operations,"France, Paris",https://www.dataiku.com/careers/job?id=4815299004
Dataiku,"Senior Solutions Consultant, Financial Services",Strategy & Operations,"United States, New York",https://www.dataiku.com/careers/job?id=4776203004
Dataiku,Software Engineer Intern - Survival Analysis,Strategy & Operations,"France, Paris",https://www.dataiku.com/careers/job?id=4774357004
Dataiku,Solutions Product Delivery Intern,Strategy & Operations,"France, Paris",https://www.dataiku.com/careers/job?id=4745773004
Dataiku,Senior IT Operations Engineer: Enterprise Systems,Strategy & Operations,"United States, Remote",https://www.dataiku.com/careers/job?id=4781996004
Dataiku,Sales Compensation Senior Manager,Strategy & Operations,"United States, New York",https://www.dataiku.com/careers/job?id=4757205004
