Company,Role,Team,Location,Job_URL
Deel,Senior Operations Manager,Customer Success Operations,"LATAM, EMEA",https://jobs.ashbyhq.com/Deel/1a4497b0-0288-4e48-8681-9ffb4510e4ea
Deel,"Analytics Engineer, Product",Data,EMEA,https://jobs.ashbyhq.com/Deel/a33be7cc-6bf5-41cb-9d82-548abf16150c
Deel,Analytics Tracking Executive,Data,Anywhere (EMEA),https://jobs.ashbyhq.com/Deel/027c7738-61a0-453a-b8fa-ae98369154d0
Deel,Data Platform Manager (Looker),Data,EMEA,https://jobs.ashbyhq.com/Deel/c21dfe41-fe6e-480c-9228-141af86acb72
Deel,Data Tracking Executive,Data,Anywhere (EMEA),https://jobs.ashbyhq.com/Deel/f089b456-03de-4c12-ad45-5b5342cc5ec2
Deel,Digital Analytics Executive,Data,Anywhere (EMEA),https://jobs.ashbyhq.com/Deel/e82a725d-2fb1-4c4e-b640-df7b15ee939d
Deel,Marketing Data Analyst,Data,EMEA,https://jobs.ashbyhq.com/Deel/f72d662e-8fcb-4f5e-ba66-20d921aedc27
Deel,MarTech Executive,Data,Anywhere (EMEA),https://jobs.ashbyhq.com/Deel/e4caebd9-b744-445c-9c0d-3a78ff744e95
Deel,Ops Data Analyst,Data,EMEA,https://jobs.ashbyhq.com/Deel/ae17cf0a-2868-4a1f-8816-e5f3c63bc4c2
Deel,Product Data Analyst,Data,Anywhere (LATAM),https://jobs.ashbyhq.com/Deel/15585532-e9e4-443b-8df9-9fc55a00334f
Deel,"Senior Data Analyst, CS",Data,EMEA,https://jobs.ashbyhq.com/Deel/af882342-9506-4a10-863c-ecc00a80c571
Deel,Senior Data Scientist,Data,"EMEA, LATAM, North America",https://jobs.ashbyhq.com/Deel/b90f36c0-cf5a-4a99-834e-3798c8c9e3ff
Deel,Senior Product Data Analyst,Data,Netherlands,https://jobs.ashbyhq.com/Deel/9d0d40d0-3329-453b-8b6b-848592c7d71f
Deel,Backend Engineer (Node.js + AWS) ,Engineering,Anywhere (LATAM),https://jobs.ashbyhq.com/Deel/8b8e8a42-edc5-4012-ad88-088339ebfdcd
Deel,Backend Engineer (Node.js + AWS) ,Engineering,Anywhere (EMEA),https://jobs.ashbyhq.com/Deel/634a82aa-8bdc-458e-aefd-1db9115b1fc4
Deel,DevOps Engineer,Engineering,Anywhere (LATAM),https://jobs.ashbyhq.com/Deel/d47cc318-24c2-45ab-bad1-3d977d91f1e0
Deel,DevOps Engineer,Engineering,Anywhere (EMEA),https://jobs.ashbyhq.com/Deel/be8f9cfc-a690-4fc3-816f-6baf7736ded8
Deel,Frontend Engineer (React.js),Engineering,Anywhere (LATAM),https://jobs.ashbyhq.com/Deel/3167dfb8-c059-4adc-b919-b60cfc486fda
Deel,Frontend Engineer (React.js) ,Engineering,Anywhere (EMEA),https://jobs.ashbyhq.com/Deel/19e52e04-b3da-44da-89a0-b13de607aff3
Deel,Information Security Engineer,Engineering,Anywhere (EMEA),https://jobs.ashbyhq.com/Deel/9ff1c6bd-468b-4868-b102-2f1942c27b05
Deel,QA Manual/Automation Engineer LATAM,Engineering,Anywhere (LATAM),https://jobs.ashbyhq.com/Deel/bf960459-2fc0-467b-8e0f-f9e6fcd66c40
Deel,Team Lead - Engineering,Engineering,LATAM,https://jobs.ashbyhq.com/Deel/785c3b24-90c6-4301-b3f8-2bc6326f4cd4
Deel,Team Lead - Engineering,Engineering,Anywhere (EMEA),https://jobs.ashbyhq.com/Deel/e23a8f79-be0c-4b47-9066-49a05922766f
Deel, Reconciliation Specialist,Finance,Anywhere (EMEA),https://jobs.ashbyhq.com/Deel/0db2e300-9d01-4077-9569-1618ce317a88
Deel,Assistant Controller Africa ,Finance,Kenya,https://jobs.ashbyhq.com/Deel/725c41f1-3744-4d47-947c-ff3553e5dcd9
Deel,Assistant Controller Asia,Finance,India,https://jobs.ashbyhq.com/Deel/1db95280-88f9-4713-a1bb-121d5ae5e1c7
Deel,Assistant Controller EMEA ,Finance,Anywhere (EMEA),https://jobs.ashbyhq.com/Deel/b96eb7d1-c2fd-4d6c-b41c-47d0f33dfc24
Deel,Assistant Controller LATAM,Finance,Mexico,https://jobs.ashbyhq.com/Deel/ad29ecd2-cf9e-47ee-a0f5-88de1f8321f9
Deel,Assistant Controller Pacific,Finance,Australia,https://jobs.ashbyhq.com/Deel/59a891d9-5724-4b01-aedd-9c6c25861f22
Deel,Consolidation Controller ,Finance,Israel,https://jobs.ashbyhq.com/Deel/904e1cef-a4c0-4c3d-8c52-f0603b67fb6a
Deel,Cost Controller ,Finance,Anywhere (EMEA),https://jobs.ashbyhq.com/Deel/9b4cfd4c-81fb-4da5-b271-d51793710aa3
Deel,Country Finance Manager US,Finance,Anywhere (North America),https://jobs.ashbyhq.com/Deel/3b80be34-38c1-46b1-9f27-eb6cfc23a0bf
Deel,EMEA Controller,Finance,Anywhere (EMEA),https://jobs.ashbyhq.com/Deel/7e36c217-b85b-458c-8783-6528055a6a1b
Deel,Operations and Stock Admin Specialist,Finance,Anywhere (EMEA),https://jobs.ashbyhq.com/Deel/91fba224-34a1-4780-8ab4-56f2017aafa4
Deel,Senior Financial Compliance Manager,Finance,EMEA,https://jobs.ashbyhq.com/Deel/f0cf9fff-4140-4894-b008-ef132cecc30d
Deel,Treasury Analyst,Finance,EMEA,https://jobs.ashbyhq.com/Deel/3cf41015-e173-4314-ac99-7b6566185797
Deel," Country Financial Manager, Norway",CFM,Norway,https://jobs.ashbyhq.com/Deel/f9335c4c-0457-401c-90f0-545ce6e8ab39
Deel,"Country Finance Manager, Belgium",CFM,Belgium,https://jobs.ashbyhq.com/Deel/eb69d130-65cb-4856-8bf7-ac7981f687fb
Deel,"Country Finance Manager, Chile",CFM,Chile,https://jobs.ashbyhq.com/Deel/019b2ed7-8195-43ef-9358-2ae30732b4a2
Deel,"Country Finance Manager, Greece",CFM,Greece,https://jobs.ashbyhq.com/Deel/f4c18464-a770-4677-b77c-e67de565b458
Deel,"Country Finance Manager, Philippines",CFM,Philippines,https://jobs.ashbyhq.com/Deel/d2969c74-76ca-4b36-8248-1af39bc96800
Deel,"Country Finance Manager, South Africa",CFM,South Africa,https://jobs.ashbyhq.com/Deel/9b2afad8-4bfa-494c-80a1-ba2e4f8a605a
Deel,"Country Financial Manager, Austria",CFM,Austria,https://jobs.ashbyhq.com/Deel/c84794a6-2a36-473f-b1df-17542240af7f
Deel,"Country Financial Manager, Finland",CFM,Finland,https://jobs.ashbyhq.com/Deel/4c1469f0-0a0d-4e12-a1f9-004984711727
Deel,"Country Financial Manager, Switzerland",CFM,Switzerland,https://jobs.ashbyhq.com/Deel/ea336ca4-f769-46fc-8086-3df1d41b9882
Deel,"Country Financial Manager, United Arab Emirates",CFM,United Arab Emirates,https://jobs.ashbyhq.com/Deel/d3c2dee1-4f11-42d4-9f51-05aec2213394
Deel,DACH Marketing Manager,Growth,"Germany, Switzerland, Austria",https://jobs.ashbyhq.com/Deel/57bd9878-82e9-48fd-a176-da8454e6a477
Deel,Director of Expansion Marketing ,Growth,"Anywhere (Americas), Anywhere (EMEA)",https://jobs.ashbyhq.com/Deel/2d0768c1-dc60-4935-8444-58665568d6e5
Deel,Enablement Marketing Manager,Growth,"Anywhere (EMEA), Anywhere (LATAM), Anywhere (North America)",https://jobs.ashbyhq.com/Deel/40f9d1db-ca51-48b8-b845-d3f5ccb9bb8e
Deel,Events Manager (APAC),Growth,"Singapore, Hong Kong",https://jobs.ashbyhq.com/Deel/10402a8f-be2a-4af8-b00c-32db30aa6f5d
Deel,Growth Marketing Manager,Growth,"Anywhere (EMEA), Anywhere (North America), Anywhere (LATAM)",https://jobs.ashbyhq.com/Deel/5173195d-ab50-44a6-8fba-b87a895a664a
Deel,Product Marketing Manager Lead,Growth,"UK, Anywhere (EMEA)",https://jobs.ashbyhq.com/Deel/2aade7b6-01da-47a2-baa5-25d6680503a5
Deel,Regional Paid Ads Manager (APAC),Growth,Anywhere (APAC),https://jobs.ashbyhq.com/Deel/b3535fac-b2f4-4b7f-8eb3-5a054e55c965
Deel,Regional Paid Ads Manager (EMEA),Growth,Anywhere (EMEA),https://jobs.ashbyhq.com/Deel/4c33718b-8fe3-45b2-bccc-9a3cce546345
Deel,Regional Paid Ads Manager (LATAM),Growth,Anywhere (LATAM),https://jobs.ashbyhq.com/Deel/b1322f2b-81c4-4efc-be8d-03b7c35ed9ad
