Company,Role,Team,Location,Job_URL
Flutterwave,Data Analyst,Data,Nigeria,https://flutterwavego.bamboohr.com/careers/537
Flutterwave,CRM & Email Marketing Lead,Product Marketing,United Kingdom,https://flutterwavego.bamboohr.com/careers/539
Flutterwave,Senior Legal Officer,"Regulatory, Legal & Govt Affairs",Nigeria,https://flutterwavego.bamboohr.com/careers/505
Flutterwave,Senior Core Switching Engineer,Engineering,Nigeria,https://flutterwavego.bamboohr.com/careers/503
Flutterwave,Software Developer,Engineering,India,https://flutterwavego.bamboohr.com/careers/493
Flutterwave,Software Developer,Engineering,Nigeria,https://flutterwavego.bamboohr.com/careers/481
Flutterwave,Product Designer,Design,Nigeria,https://flutterwavego.bamboohr.com/careers/463
Flutterwave,User Policy Strategist,Risk,Kenya,https://flutterwavego.bamboohr.com/careers/460
Flutterwave,Risk Strategist,Risk,Kenya,https://flutterwavego.bamboohr.com/careers/454
Flutterwave,User Policy Strategist,Risk,South Africa,https://flutterwavego.bamboohr.com/careers/459
Flutterwave,Risk Strategist,Risk,South Africa,https://flutterwavego.bamboohr.com/careers/456
Flutterwave,"Country Operations and Partnerships Manager, APAC",Global Expansion and Market Penetration,Singapore,https://flutterwavego.bamboohr.com/jobs/view.php?id=431
Flutterwave,"Country Operations and Partnerships Manager, Morocco ",Global Expansion and Market Penetration,Morocco,https://flutterwavego.bamboohr.com/careers/356
Flutterwave,Chargeback & Refund Analyst,Settlement Operations,Sandton,https://flutterwavego.bamboohr.com/jobs/view.php?id=321&source=bamboohr
