Company,Role,Team,Location,Job_URL
Highspot,Assistant Controller,General & Administrative ,Seattle,https://jobs.lever.co/highspot/b664c266-8062-4296-bea5-063b53ccae8a
Highspot,"Corporate Counsel, EMEA",General & Administrative ,London,https://jobs.lever.co/highspot/75f60a84-7fb1-423f-9692-71d231354c81
Highspot,"Manager, Accounting",General & Administrative ,Seattle,https://jobs.lever.co/highspot/55ae955c-c076-4e11-8204-85f0842c1e34
Highspot,Backend Software Engineer II,Product ,"Vancouver, BC",https://jobs.lever.co/highspot/00d05a6d-2a83-4a19-91e4-de6a8cec5a68
Highspot,Core Frontend Engineer II,Product ,"Vancouver, BC",https://jobs.lever.co/highspot/03b4e1b0-e8fa-4651-8516-f0947e808249
Highspot,Director- Product Design,Product ,"Vancouver, BC",https://jobs.lever.co/highspot/157afe2e-71b6-4f34-b491-7252ebc3f8a6
Highspot,Principal Backend Engineer - Platform Engineering,Product ,"Vancouver, BC",https://jobs.lever.co/highspot/f63d2d32-c5bb-477f-b7eb-af9c5c8a521e
Highspot,"Principal Backend Engineer, Training & Coaching",Product ,"Vancouver, BC",https://jobs.lever.co/highspot/244e9216-547d-4d9e-aaee-751d7cbc501a
Highspot,"Principal Backend Software Engineer, Identity - Platform Engineering",Product ,"Vancouver, BC",https://jobs.lever.co/highspot/fd4fda49-1535-4010-9899-f69cc3cd0bb5
Highspot,"Principal Product Manager, Machine Learning",Product ,"Vancouver, BC",https://jobs.lever.co/highspot/0e43a101-a5b5-445b-95ec-94a946075602
Highspot,"Principal Product Manager, Training",Product ,"Vancouver, BC",https://jobs.lever.co/highspot/f3edc989-932d-42a3-a9ff-76d68c08cc22
Highspot,"Principal/Sr. Backend Software Engineer, Search",Product ,"Vancouver, BC",https://jobs.lever.co/highspot/c1e681a1-0954-4d1e-a2bc-abcda01dd24e
Highspot,"Senior/Core 2 Backend Engineer, Engagement",Product ,"Vancouver, BC",https://jobs.lever.co/highspot/658391bc-0178-4cae-9322-be0a34aabe26
Highspot,Sr. / Principal Full Stack Engineer - Platform Engineering,Product ,"Vancouver, BC",https://jobs.lever.co/highspot/7f128869-f996-4dd3-a49c-7926aaf0811b
Highspot,"Sr. Backend Software Engineer, Identity - Platform Engineering",Product ,"Vancouver, BC",https://jobs.lever.co/highspot/8b47f286-ff7e-4362-bdee-8403882b328d
Highspot,Sr. Engineering Manager - Identity,Product ,"Vancouver, BC",https://jobs.lever.co/highspot/2f2c392e-990e-4107-bfc7-ffa5202c85b6
Highspot,Sr. Engineering Manager - Identity,Product ,Seattle,https://jobs.lever.co/highspot/44980ed7-01c8-4866-bb76-70afda0d880b
Highspot,"Sr. Full-Stack Engineer, Training & Coaching",Product ,"Vancouver, BC",https://jobs.lever.co/highspot/de9ed55a-3270-4588-882b-0fdd61f1522c
Highspot,"Sr. Product Manager, Platform (Accessibility)",Product ,"Vancouver, BC",https://jobs.lever.co/highspot/cba95cb4-f8c2-418b-be99-dfb2ee291dcc
Highspot,Sr. Software Development Engineer (Front End Focus),Product ,"Vancouver, BC",https://jobs.lever.co/highspot/1ac22c07-69de-4420-a036-096db859272e
Highspot,Staff / Principal Mobile Engineer - Platform Engineering,Product ,"Vancouver, BC",https://jobs.lever.co/highspot/13785366-a91c-4eff-8be2-56ed2151a2ef
Highspot,VP of Product Design,Product ,Seattle,https://jobs.lever.co/highspot/b6c7f444-fcf7-4b53-a578-331164a0cb55
