Company,Role,Team,Location,Job_URL
Icertis,Information Technology – Systems Administrator (Onsite/Hybrid End User Support),Information Technology,"Bellevue, WashingtonExecutive and Admin – Information TechnologyOn-site",https://jobs.lever.co/icertis/ebeeb676-95aa-403c-8dbf-b5951c64b095
Icertis,Vice President Demand Generation and ABM,Demand Generation,"Seattle, WashingtonMarketing – Demand GenerationHybrid",https://jobs.lever.co/icertis/c996da6f-de10-4abf-bdda-dc9c6b584d71
Icertis,Director Product Marketing,Product Marketing,"Pune, MaharashtraMarketing – Product MarketingHybrid",https://jobs.lever.co/icertis/1ab5ba60-454f-493e-8bf9-91132bdd5bcb
Icertis,Manager - Product Marketing,Product Marketing,"Pune, MaharashtraMarketing – Product MarketingHybrid",https://jobs.lever.co/icertis/c6d3df19-e2dd-412a-8045-3ff1a79aeb0e
Icertis,UX Designer,Product Management Department,"Pune, MaharashtraPre Sales & Product Management – Product Management DepartmentOn-site",https://jobs.lever.co/icertis/a060b8bf-47aa-4f20-a41d-ae13f3d3bb73
Icertis,Architect - Cloudops,CloudOps,"Pune, MaharashtraProduct and Delivery Team – CloudOpsHybrid",https://jobs.lever.co/icertis/34da1231-a1de-4499-aecd-403ac46094b6
Icertis,Lead Software Engineer - Cloud Team,CloudOps,"Pune, MaharashtraProduct and Delivery Team – CloudOpsHybrid",https://jobs.lever.co/icertis/e0a83c14-c0bb-47bf-a1c7-30d469e5d6f8
Icertis,"Senior Azure DevOps Engineer, Cloud Operations (US GOV Cloud)",CloudOps,US Western RegionProduct and Delivery Team – CloudOpsRemote,https://jobs.lever.co/icertis/c7cb9f07-3177-40ae-915a-b3aa683c4de6
Icertis,Senior Consultant - Finops - Cloud Team,CloudOps,"Pune, MaharashtraProduct and Delivery Team – CloudOpsHybrid",https://jobs.lever.co/icertis/f6705bb2-1921-4732-a716-f5a01302f1ca
Icertis,Senior Software Engineer - Cloud Team (Azure monitoring role),CloudOps,"Pune, MaharashtraProduct and Delivery Team – CloudOpsHybrid",https://jobs.lever.co/icertis/eb1a37fc-8914-4b35-8041-8359350c8823
Icertis,Senior Software Engineer - CloudOps/Automation,CloudOps,"Pune, MaharashtraProduct and Delivery Team – CloudOpsHybrid",https://jobs.lever.co/icertis/c0ce6612-ad37-4bef-8a26-5982884a370e
Icertis,Customer Success Manager (Night shift),Customer Success Management,"Pune, MaharashtraProduct and Delivery Team – Customer Success ManagementHybrid",https://jobs.lever.co/icertis/ab8915c6-a849-482f-9470-78113173e2e8
Icertis,Senior Product Trainer,ICI Academy,"Pune, MaharashtraProduct and Delivery Team – ICI AcademyOn-site",https://jobs.lever.co/icertis/00629ac8-e6e0-4753-a4a7-b46fb271f583
Icertis,Senior Data Scientist (NLP) - CTO,CTO's Office,"Pune, MaharashtraR&D – CTO's OfficeHybrid",https://jobs.lever.co/icertis/639fb0e6-4448-491c-a6ad-fea0a0c9eb5a
Icertis,"General Manager, Customer Advocacy - Remote",AMER Customer Advocacy,United StatesSales – AMER Customer AdvocacyRemote,https://jobs.lever.co/icertis/0717c1c0-a2ed-4671-8c07-d1a7cee480f0
