Company,Role,Team,Location,Job_URL
Kong Inc,Senior Customer Experience Solution Architect,Customer Experience Architect,Netherlands,https://jobs.lever.co/kong/a928c84b-805f-44aa-9334-4a73df93a12d
Kong Inc,Senior Customer Experience Solution Architect,Customer Experience Architect,United States,https://jobs.lever.co/kong/f8db5db6-e335-46cc-9ed1-16b9da9d7f10
Kong Inc,Senior Customer Experience Solution Architect,Customer Experience Architect,France,https://jobs.lever.co/kong/dfe7fd43-bcfd-4e65-bdf7-4d73878c26b1
Kong Inc,Senior Customer Experience Solution Architect - UK,Customer Experience Architect,United Kingdom,https://jobs.lever.co/kong/978f3dd5-73e6-437d-bad0-81189d96456e
Kong Inc,Senior Customer Experience Engineer - Singapore,Customer Experience Engineer,Singapore,https://jobs.lever.co/kong/eea1b961-e2bf-4a61-8d88-c187e12a3df5
Kong Inc,Senior Customer Experience Field Engineer - Professional Services,Customer Experience Engineer,United States,https://jobs.lever.co/kong/916be1a6-14c9-4ce0-b722-298ec4767eb8
Kong Inc,Senior Software Engineer - Platform Services,Cloud Applications,Toronto,https://jobs.lever.co/kong/6af47960-0932-45ad-b462-306c2d2d9b0f
Kong Inc,"Senior Software Engineering Manager, Gateway - Shanghai",Gateway & K8s,Shanghai,https://jobs.lever.co/kong/8d6da62c-ab3d-43fd-97b7-2e378c79b78d
Kong Inc,"Staff Software Engineer, Gateway - Shanghai",Gateway & K8s,Shanghai,https://jobs.lever.co/kong/3cc91353-5269-4144-aa0b-1978d6bb76ec
Kong Inc,"Senior Corporate Counsel, Americas",Legal,United States,https://jobs.lever.co/kong/320de797-030d-4b82-9958-5f4b8b46ef1b
Kong Inc,"Senior Backend Software Engineer, Insomnia -  Shanghai",OCTO,Shanghai,https://jobs.lever.co/kong/56273290-da86-4bb7-b4f6-cbca572cce9a
Kong Inc,"Senior Backend Software Engineer, Insomnia -  Shanghai",OCTO,Shanghai,https://jobs.lever.co/kong/571a8a24-8152-466f-92df-b13ef7125458
Kong Inc,Senior PM for API Consumption,Product Management,United States,https://jobs.lever.co/kong/13e3d113-a630-474a-bb0e-38dbb910a843
Kong Inc,Senior Product Manager - Kong Gateway,Product Management,United States,https://jobs.lever.co/kong/70c7af6c-ad88-4165-9299-ea024e0e6204
Kong Inc,Senior Product Manager - SaaS Control Plane,Product Management,United States,https://jobs.lever.co/kong/bdef124b-9df4-451a-bd7e-b38569b286b7
Kong Inc,Enterprise Account Executive - Australia,Sales - APJ,Sydney,https://jobs.lever.co/kong/7e09b8e3-f4e0-47fd-b1d8-d9e3d2e6289a
Kong Inc,Enterprise Account Executive - Bangalore,Sales - APJ,Bangalore,https://jobs.lever.co/kong/209572af-c140-434b-a084-f2e6f27549fa
Kong Inc,Enterprise Account Executive - Mumbai,Sales - APJ,Mumbai,https://jobs.lever.co/kong/2c9911f5-2a44-4951-9c55-83ba03cd4236
Kong Inc,Enterprise Account Executive - Singapore,Sales - APJ,Singapore,https://jobs.lever.co/kong/880b8f9f-e618-436b-baaa-796107829f10
Kong Inc,Commercial Account Executive - East,"Sales - Commercial, US","Chicago, IL",https://jobs.lever.co/kong/2b480430-32dc-4f28-9bad-2c17b96b89b7
Kong Inc,Commercial Account Executive - West,"Sales - Commercial, US","San Francisco, CA",https://jobs.lever.co/kong/68159271-588c-4afa-8955-1b030607b89d
Kong Inc,Enterprise Account Executive - France,Sales - EMEA,France,https://jobs.lever.co/kong/f8cbe9a7-58fd-4eba-a1f1-09234230153f
Kong Inc,Enterprise Account Executive - Germany,Sales - EMEA,Germany,https://jobs.lever.co/kong/c4c4f9fa-ec78-4de8-a2eb-a7e0f8cc1759
Kong Inc,Enterprise Account Executive - Netherlands,Sales - EMEA,Amsterdam,https://jobs.lever.co/kong/4d535e15-3665-43f3-a36e-0b25bf8902d1
Kong Inc,Account Development Representative (ADR) - Chicago Based,Sales Development,United States,https://jobs.lever.co/kong/c5060925-e328-4ab1-991e-60048cfdc99a
Kong Inc,Sales Development Representative - India,Sales Development,India,https://jobs.lever.co/kong/14458e35-ff18-407a-8024-8ce91bef6f17
Kong Inc,Solution Engineer - Commercial,Sales Engineering,United States,https://jobs.lever.co/kong/88ea0ac0-c2bd-4474-b36b-15aa9b0af9d2
Kong Inc,Solutions Engineer - Singapore or Bangalore/ Mumbai,Sales Engineering,Singapore,https://jobs.lever.co/kong/4f5e6a93-51de-4cd0-97a3-16abe0291d69
Kong Inc,"Enterprise Account Executive, Southern California",U.S Sales - West,United States,https://jobs.lever.co/kong/338948e0-be77-4db5-9f8a-841d4b972e7c
Kong Inc,"Regional Vice President, Enterprise Sales - West (RVP)",U.S Sales - West,United States,https://jobs.lever.co/kong/25fb3269-3ca1-4512-b332-383b4f79bf78
Kong Inc,Stay in Touch,Stay In Touch,United States,https://jobs.lever.co/kong/1b575aba-5d10-4063-af78-febe379b1f48
