Company,Role,Team,Location,Job_URL
Lucid,Lead Partner Engineer,Business Development & Strategy,"Remote, US",https://boards.greenhouse.io/lucidsoftware/jobs/4808349004
Lucid,Manager of Business Development,Business Development & Strategy,"Remote, US",https://boards.greenhouse.io/lucidsoftware/jobs/4808095004
Lucid,Customer Operations Intern,Customer Success,"Remote, US",https://boards.greenhouse.io/lucidsoftware/jobs/4759806004
Lucid,EMEA Enterprise Customer Success Manager (German),Customer Success,"Amsterdam, NL",https://boards.greenhouse.io/lucidsoftware/jobs/4303153004
Lucid,"Implementation Consultant, APAC",Customer Success,"Melbourne, Victoria, AU",https://boards.greenhouse.io/lucidsoftware/jobs/4699985004
Lucid,Professional Services Consultant,Customer Success,"Salt Lake City, UT",https://boards.greenhouse.io/lucidsoftware/jobs/4746694004
Lucid,QA Internship,Engineering,"Remote, US",https://boards.greenhouse.io/lucidsoftware/jobs/4366467004
Lucid,Sr. Software Engineer,Engineering,"Salt Lake City, UT",https://boards.greenhouse.io/lucidsoftware/jobs/4811618004
Lucid,Sr. Software Engineer,Engineering,"Remote, US",https://boards.greenhouse.io/lucidsoftware/jobs/4012374004
Lucid,"Sr. Software Engineer, SRE",Engineering,"Remote, US",https://boards.greenhouse.io/lucidsoftware/jobs/4726628004
Lucid,"Sr. Systems Engineer, SRE",Engineering,"Remote, US",https://boards.greenhouse.io/lucidsoftware/jobs/4088481004
Lucid,Security Engineer,Engineering,"Salt Lake City, UT",https://boards.greenhouse.io/lucidsoftware/jobs/4812466004
Lucid,QA Specialist,Engineering,"Remote, US",https://boards.greenhouse.io/lucidsoftware/jobs/4365629004
Lucid,Staff Accountant,Finance & Accounting,"Remote, US",https://boards.greenhouse.io/lucidsoftware/jobs/4804609004
Lucid,Sr. Product Marketing Manager (Competitor Intel) ,Marketing,"Remote, US",https://boards.greenhouse.io/lucidsoftware/jobs/4772524004
Lucid,Associate Product Manager,Operations,"Remote, US",https://boards.greenhouse.io/lucidsoftware/jobs/4802241004
Lucid,Product Manager,Operations,"Remote, US",https://boards.greenhouse.io/lucidsoftware/jobs/4810357004
Lucid,Technical Project Manager,Operations,"Remote, US",https://boards.greenhouse.io/lucidsoftware/jobs/4769496004
Lucid,"Inventory Specialist, Workplace Experience",People and Culture,"Salt Lake City, UT",https://boards.greenhouse.io/lucidsoftware/jobs/4812798004
Lucid,General Application,People and Culture,"Salt Lake City, UT",https://boards.greenhouse.io/lucidsoftware/jobs/4018249004
Lucid,Sr. UX Designer,Product,"Remote, US",https://boards.greenhouse.io/lucidsoftware/jobs/4362716004
Lucid,"Account Executive, SMB Expansion, APAC",Sales,"Remote, Victoria, AU",https://boards.greenhouse.io/lucidsoftware/jobs/4387532004
Lucid,Enterprise Account Executive,Sales,"Remote, US",https://boards.greenhouse.io/lucidsoftware/jobs/4012379004
Lucid,"Regional Director, EMEA Commercial Sales",Sales,"Amsterdam, NL",https://boards.greenhouse.io/lucidsoftware/jobs/4813211004
Lucid,"Regional Director, EMEA Enterprise Sales",Sales,"Amsterdam, NL",https://boards.greenhouse.io/lucidsoftware/jobs/4373089004
Lucid,Sr. Director of Sales Enablement,Sales,"Remote, US",https://boards.greenhouse.io/lucidsoftware/jobs/4709966004
Lucid,Instructional Design and Development Coordinator (Temp),Sales,"Salt Lake City, UT",https://boards.greenhouse.io/lucidsoftware/jobs/4812101004
Lucid,Sales Enablement Coordinator (Temp),Sales,"Salt Lake City, UT",https://boards.greenhouse.io/lucidsoftware/jobs/4812100004
Lucid,Senior Solutions Engineer,Sales,"Salt Lake City, UT",https://boards.greenhouse.io/lucidsoftware/jobs/4084838004
