Company,Role,Team,Location,Job_URL
Netskope,Facilities Manager ( Contract ),Administrative,"Bengaluru, Karnataka, India",https://www.netskope.com/company/careers/open-positions/?gh_jid=4659019
Netskope,Solution Developer,Business Development,India,https://www.netskope.com/company/careers/open-positions/?gh_jid=4607249
Netskope,IT Business Applications Analyst (Contractor) ,Corporate Engineering,"Santa Clara, California, United States",https://www.netskope.com/company/careers/open-positions/?gh_jid=4842937
Netskope,IT Support Admin,Corporate Engineering,"Bengaluru, Karnataka, India",https://www.netskope.com/company/careers/open-positions/?gh_jid=4762963
Netskope,"Manager, ERP Applications",Corporate Engineering,"Santa Clara, California, United States",https://www.netskope.com/company/careers/open-positions/?gh_jid=4877035
Netskope,Customer Success Manager,Customer Experience,Colombia,https://www.netskope.com/company/careers/open-positions/?gh_jid=4712722
Netskope,Technical Account Manager,Customer Experience,Colombia,https://www.netskope.com/company/careers/open-positions/?gh_jid=4374746
Netskope,Technical Account Manager ,Customer Experience,"San José, Costa Rica",https://www.netskope.com/company/careers/open-positions/?gh_jid=4599125
Netskope,Technical Success Manager - EMEA,Customer Experience,"Milan, Italy",https://www.netskope.com/company/careers/open-positions/?gh_jid=4731725
Netskope,Technical Success Manager - EMEA,Customer Experience,"Rome, Italy",https://www.netskope.com/company/careers/open-positions/?gh_jid=4744132
Netskope,Customer Experience Operations Manager,Customer Experience,"Bengaluru, Karnataka, India",https://www.netskope.com/company/careers/open-positions/?gh_jid=4798645
Netskope,"Backend Engineer, Private Access",Engineering,"Taipei, Taiwan",https://www.netskope.com/company/careers/open-positions/?gh_jid=3724674
Netskope,"Principal Architect, Private Access ",Engineering,"Taipei, Taiwan",https://www.netskope.com/company/careers/open-positions/?gh_jid=4414220
Netskope,"Principal Engineer, Borderless WAN Cloud Management",Engineering,Canada,https://www.netskope.com/company/careers/open-positions/?gh_jid=4901535
Netskope,"Principal Engineer, Borderless WAN Cloud Management",Engineering,United States,https://www.netskope.com/company/careers/open-positions/?gh_jid=4857284
Netskope,Principal Engineer (Control and Data plane),Engineering,India,https://www.netskope.com/company/careers/open-positions/?gh_jid=4830590
