Company,Role,Team,Location,Job_URL
OwnBackup,Account Development Representative,Sales,"Englewood Cliffs, NJ",https://www.ownbackup.com/job?gh_jid=6624659002
OwnBackup,"Account Executive, Commercial Select",Sales,"Englewood Cliffs, NJ",https://www.ownbackup.com/job?gh_jid=6624128002
OwnBackup,"Account Executive, Enterprise, Microsoft Ecosystem",Overlay / New Business,"Englewood Cliffs, NJ",https://www.ownbackup.com/job?gh_jid=6618730002
OwnBackup,"Account Executive, ServiceNow",Overlay / New Business,"Englewood Cliffs, NJ",https://www.ownbackup.com/job?gh_jid=6572381002
OwnBackup,Accounts Payable Specialist,Accounting & Finance ,"Englewood Cliffs, NJ",https://www.ownbackup.com/job?gh_jid=6607576002
OwnBackup, Associate Technical Account Manager,Services,"Englewood Cliffs, NJ",https://www.ownbackup.com/job?gh_jid=6587559002
OwnBackup,Compensation Analyst ,People Operations,"Englewood Cliffs, NJ",https://www.ownbackup.com/job?gh_jid=6562380002
OwnBackup,Engagement Leader,Services,"Englewood Cliffs, NJ",https://www.ownbackup.com/job?gh_jid=6586629002
OwnBackup,Enterprise Application Architect,Enterprise Applications,"Englewood Cliffs, NJ",https://www.ownbackup.com/job?gh_jid=5982414002
OwnBackup,HRIS Analyst (Workday),People Operations,"Englewood Cliffs, NJ",https://www.ownbackup.com/job?gh_jid=6562432002
OwnBackup,Implementation Consultant,Customer Support and Implementation,"Englewood Cliffs, NJ",https://www.ownbackup.com/job?gh_jid=6575491002
OwnBackup,"Implementation Consultant, ServiceNow",Customer Support and Implementation,"Englewood Cliffs, NJ",https://www.ownbackup.com/job?gh_jid=5642501002
OwnBackup,"Microsoft Channel Partner, Director",Overlay / New Business,"Englewood Cliffs, NJ",https://www.ownbackup.com/job?gh_jid=6578014002
OwnBackup,Principal Automation Engineer,Engineering,"Tel Aviv, IL",https://www.ownbackup.com/job?gh_jid=6091902002
OwnBackup,Principal Data Engineer,Engineering,"Englewood Cliffs, NJ",https://www.ownbackup.com/job?gh_jid=6573337002
OwnBackup,Principal Engineer,Engineering,"Tel Aviv, IL",https://www.ownbackup.com/job?gh_jid=6591661002
OwnBackup,Principal Python Engineer,Engineering,"Hyderabad, IN",https://www.ownbackup.com/job?gh_jid=6226959002
OwnBackup,Principal Python Engineer,Engineering,"Englewood Cliffs, NJ",https://www.ownbackup.com/job?gh_jid=6556342002
OwnBackup,Salesforce Technical Consultant,Services,"San Diego, CA",https://www.ownbackup.com/job?gh_jid=6533838002
OwnBackup,Senior Analytics Engineer,Data Analytics,"Englewood Cliffs, NJ",https://www.ownbackup.com/job?gh_jid=6524618002
OwnBackup,Senior Customer Success Manager,Customer Success,"Englewood Cliffs, NJ",https://www.ownbackup.com/job?gh_jid=6591685002
OwnBackup,Senior IT Support Engineer,Information Technology,"Tel Aviv, IL",https://www.ownbackup.com/job?gh_jid=6606692002
OwnBackup,"Senior Product Marketing Manager, Microsoft",Product Marketing,"Englewood Cliffs, NJ",https://www.ownbackup.com/job?gh_jid=6611234002
OwnBackup,Senior Salesforce Business Systems Analyst,Enterprise Applications,"Englewood Cliffs, NJ",https://www.ownbackup.com/job?gh_jid=6369888002
OwnBackup,Software Engineering Team Lead,Engineering,"Hyderabad, IN",https://www.ownbackup.com/job?gh_jid=6579083002
OwnBackup,Technical Account Manager,Services,"San Diego, CA",https://www.ownbackup.com/job?gh_jid=6522635002
OwnBackup,Technical Account Manager,Services,"Englewood Cliffs, NJ",https://www.ownbackup.com/job?gh_jid=6587533002
OwnBackup,Technical Account Manager ,Services,"Englewood Cliffs, NJ",https://www.ownbackup.com/job?gh_jid=6629321002
OwnBackup,Vice President of Communications,Corporate Communications,"Englewood Cliffs, NJ",https://www.ownbackup.com/job?gh_jid=6575473002
