Company,Role,Team,Location,Job_URL
Papaya Global,Sales Executive,N/A,Austin,https://www.papayaglobal.com/positions/sales-executive-austin-2/
Papaya Global,Customer Success Manager,N/A,Austin,https://www.papayaglobal.com/positions/customer-success-manager-austin/
Papaya Global,Global Payroll Expert,N/A,Austin,https://www.papayaglobal.com/positions/global-payroll-expert-8/
Papaya Global,Onboarding & Implementation Manager,N/A,Austin,https://www.papayaglobal.com/positions/onboarding-implementation-manager-austin/
Papaya Global,Onboarding & Implementation Manager,N/A,Austin,https://www.papayaglobal.com/positions/on-boarding-manager-austin/
Papaya Global,Customer Operations Specialist,N/A,Bangalore,https://www.papayaglobal.com/positions/customer-operations-specialist-3-india-bangalore/
Papaya Global,Customer Operations Team Lead,N/A,Bangalore,https://www.papayaglobal.com/positions/customer-operations-team-lead-india-bangalore/
Papaya Global,Finance Operations Specialist,N/A,Bangalore,https://www.papayaglobal.com/positions/finance-operations-manager/
Papaya Global,Payroll Operations Specialist,N/A,Bangalore,https://www.papayaglobal.com/positions/payroll-operations-specialist-bangalore/
Papaya Global,Regional Head of Operations – India,N/A,Bangalore,https://www.papayaglobal.com/positions/gm-india/
Papaya Global,"HR Manager, APAC",N/A,Bangalore,https://www.papayaglobal.com/positions/hr-manager-apac/
Papaya Global,Enterprise Sales Executive,N/A,Herzliya,https://www.papayaglobal.com/positions/enterprise-sales-executive/
Papaya Global,Bookkeeper,N/A,Herzliya,https://www.papayaglobal.com/positions/senior-bookkeeper/
Papaya Global,Collection Specialist,N/A,Herzliya,https://www.papayaglobal.com/positions/collection-team-lead/
Papaya Global,Head Of Treasury,N/A,Herzliya,https://www.papayaglobal.com/positions/head-of-treasury/
Papaya Global,Payroll Manager,N/A,Herzliya,https://www.papayaglobal.com/positions/payroll-manager/
Papaya Global,"Senior FP&A Analyst, Business partner",N/A,Herzliya,https://www.papayaglobal.com/positions/fpa-analyst-business-partner/
Papaya Global,Customer Success Manager,N/A,Herzliya,https://www.papayaglobal.com/positions/customer-success-manager-3/
Papaya Global,Cyber Security Specialist,N/A,Herzliya,https://www.papayaglobal.com/positions/cyber-security-specialist/
Papaya Global,IT Tech Lead,N/A,Herzliya,https://www.papayaglobal.com/positions/senior-it-specialist/
Papaya Global,Demand Generation Manager,N/A,Herzliya,https://www.papayaglobal.com/positions/demand-generation-manager/
Papaya Global,Performance Marketing Manager,N/A,Herzliya,https://www.papayaglobal.com/positions/performance-marketing-manager/
Papaya Global,PPC Campaign Manager,N/A,Herzliya,https://www.papayaglobal.com/positions/ppc-campaign-manager/
Papaya Global,User Acquisition Manager,N/A,Herzliya,https://www.papayaglobal.com/positions/user-acquisition-manager/
Papaya Global,Learning and Development Manager,N/A,Herzliya,https://www.papayaglobal.com/positions/learning-development-manager/
Papaya Global,Java Tech Lead – Infra Team,N/A,Herzliya,https://www.papayaglobal.com/positions/java-tech-lead-infra-team/
Papaya Global,Principal Engineer – Infra Team,N/A,Herzliya,https://www.papayaglobal.com/positions/senior-java-engineer-infra-team/
Papaya Global,R&D Group Leader,N/A,Herzliya,https://www.papayaglobal.com/positions/rd-group-leader/
Papaya Global,Senior Automation Engineer,N/A,Herzliya,https://www.papayaglobal.com/positions/senior-automation-engineer/
Papaya Global,Senior Backend Developer – Core Team,N/A,Herzliya,https://www.papayaglobal.com/positions/senior-backend-developer/
Papaya Global,Senior Backend Engineer – Payments App Team,N/A,Herzliya,https://www.papayaglobal.com/positions/senior-backend-engineer-payments-app-team/
Papaya Global,Senior Backend Engineer – Payment Services Team,N/A,Herzliya,https://www.papayaglobal.com/positions/senior-backend-engineer-payment-services-team/
Papaya Global,Senior SW Architect,N/A,Herzliya,https://www.papayaglobal.com/positions/senior-sw-architect/
Papaya Global,Software Team Leader,N/A,Herzliya,https://www.papayaglobal.com/positions/software-team-leader/
Papaya Global,Senior Director/ Product Management Platform,N/A,Herzliya,https://www.papayaglobal.com/positions/senior-director-product-management-platform/
Papaya Global,Senior Product Designer (UI/UX),N/A,Herzliya,https://www.papayaglobal.com/positions/product-designer-ui-ux-senior/
Papaya Global,"Senior Product Manager, Platform",N/A,Herzliya,https://www.papayaglobal.com/positions/senior-product-manager-platform/
Papaya Global,UX Writer,N/A,Herzliya,https://www.papayaglobal.com/positions/ux-writer/
Papaya Global,AR/AP Specialist,N/A,Kraków,https://www.papayaglobal.com/positions/ar-ap-specialist/
Papaya Global,Junior Financial Reporting Specialist,N/A,Kraków,https://www.papayaglobal.com/positions/junior-financial-reporting-specialist/
