Company,Role,Team,Location,Job_URL
Razorpay,Chief of Staff,Banking,Bangalore ,https://razorpay.com/jobs/jobs-all/detail/?gh_jid=4091259005
Razorpay,Director - Banking Alliances,Banking Alliances,Bangalore ,https://razorpay.com/jobs/jobs-all/detail/?gh_jid=4142272005
Razorpay,Director - Banking Alliances,Banking Alliances,Bangalore ,https://razorpay.com/jobs/jobs-all/detail/?gh_jid=4185831005
Razorpay,Engineering Manager,Backend,Pune ,https://razorpay.com/jobs/jobs-all/detail/?gh_jid=4065764005
Razorpay,Engineering Manager,Data Solutions,Bangalore ,https://razorpay.com/jobs/jobs-all/detail/?gh_jid=4180466005
Razorpay,Head of Engineering and Site Leader,Engineering,Pune ,https://razorpay.com/jobs/jobs-all/detail/?gh_jid=4065787005
Razorpay,Manager - Cross Border Sales,Cross Border Sales,Bangalore ,https://razorpay.com/jobs/jobs-all/detail/?gh_jid=4132448005
Razorpay,Manager - Enterprise Sales,Enterprise Sales,Hyderabad ,https://razorpay.com/jobs/jobs-all/detail/?gh_jid=4203752005
Razorpay,Manager - Enterprise Sales,Enterprise Sales,Mumbai ,https://razorpay.com/jobs/jobs-all/detail/?gh_jid=4203754005
Razorpay,Manager - Enterprise Sales,Enterprise Sales,Pune ,https://razorpay.com/jobs/jobs-all/detail/?gh_jid=4203753005
Razorpay,Manager - Enterprise Sales,Enterprise Sales,Delhi ,https://razorpay.com/jobs/jobs-all/detail/?gh_jid=4203751005
Razorpay,Manager - KAM Operations,KAM Operations,Bangalore ,https://razorpay.com/jobs/jobs-all/detail/?gh_jid=4196763005
Razorpay,Manager - Product Sales Specialist,Key Account Management,Bangalore ,https://razorpay.com/jobs/jobs-all/detail/?gh_jid=4195994005
Razorpay,Manager - SME Sales,SME Sales,Bangalore ,https://razorpay.com/jobs/jobs-all/detail/?gh_jid=4202731005
Razorpay,Senior Database Architect,DevOps,Bangalore ,https://razorpay.com/jobs/jobs-all/detail/?gh_jid=4202727005
Razorpay,Senior Data Engineer,Data Engineering,Bangalore ,https://razorpay.com/jobs/jobs-all/detail/?gh_jid=4188437005
Razorpay,Senior DevOps Engineer,DevOps,Bangalore ,https://razorpay.com/jobs/jobs-all/detail/?gh_jid=4150199005
Razorpay,Senior Engineering Manager,Backend,Bangalore ,https://razorpay.com/jobs/jobs-all/detail/?gh_jid=4220163005
Razorpay,Senior Manager - Banking Alliances,Banking Alliances,Bangalore ,https://razorpay.com/jobs/jobs-all/detail/?gh_jid=4169612005
Razorpay,Senior Manager - Employer Branding,Brand Marketing,Bangalore ,https://razorpay.com/jobs/jobs-all/detail/?gh_jid=4191589005
Razorpay,Senior Manager - SME Payroll,SME Sales,Bangalore ,https://razorpay.com/jobs/jobs-all/detail/?gh_jid=4187209005
Razorpay,Senior Product Manager,Product Management,Bangalore ,https://razorpay.com/jobs/jobs-all/detail/?gh_jid=4220720005
Razorpay,Senior Solutions Consultant,Solutions,Bangalore ,https://razorpay.com/jobs/jobs-all/detail/?gh_jid=4219046005
Razorpay,Solutions Consultant,Solutions,Mumbai ,https://razorpay.com/jobs/jobs-all/detail/?gh_jid=4169604005
Razorpay,Solutions Consultant,Solutions,Delhi ,https://razorpay.com/jobs/jobs-all/detail/?gh_jid=4202276005
Razorpay,Solutions Consultant,Solutions,Hyderabad ,https://razorpay.com/jobs/jobs-all/detail/?gh_jid=4202286005
Razorpay,Solutions Consultant,Solutions,Chennai ,https://razorpay.com/jobs/jobs-all/detail/?gh_jid=4202285005
Razorpay,Solutions Engineer,Business Integration,Mumbai ,https://razorpay.com/jobs/jobs-all/detail/?gh_jid=4187844005
Razorpay,Technical Program Manager,Program Management,Bangalore ,https://razorpay.com/jobs/jobs-all/detail/?gh_jid=4187249005
Razorpay,Technical Writer,Technical Writing,Bangalore ,https://razorpay.com/jobs/jobs-all/detail/?gh_jid=4219564005
Razorpay,"Vice President, Product Management",Product Management,Bangalore ,https://razorpay.com/jobs/jobs-all/detail/?gh_jid=4150753005
