Company,Role,Team,Location,Job_URL
Snyk,Business Development Co-op (Cloud Operations),Business Development,Boston,https://boards.greenhouse.io/snyk/jobs/6620004002
Snyk,Business Development Intern - Cloud Operations (June-August 2023),Business Development,Boston,https://boards.greenhouse.io/snyk/jobs/6620006002
Snyk,Business Development Intern - Global Systems Integrator (June-August 2023),Business Development,Boston,https://boards.greenhouse.io/snyk/jobs/6620002002
Snyk,Senior Alliance Manager,Business Development,"Munich, or Remote",https://boards.greenhouse.io/snyk/jobs/6527752002
Snyk,Systems Engineer,Corp Info Systems,Boston,https://boards.greenhouse.io/snyk/jobs/6646265002
Snyk,"Senior Manager, Software Engineering - Open Source Group",Engineering,"Cluj, Romania, Remote in locations listed",https://boards.greenhouse.io/snyk/jobs/6535019002
Snyk,Senior Software Engineer - Cloud Products,Engineering,"Cluj, Romania, Remote in locations listed",https://boards.greenhouse.io/snyk/jobs/6576233002
Snyk,Staff Software Engineer - Container Group,Engineering,"Romania, Remote in locations listed",https://boards.greenhouse.io/snyk/jobs/6535021002
Snyk,Staff Software Engineer - Data Insights Team,Engineering,"Cluj, Romania, Remote in locations listed",https://boards.greenhouse.io/snyk/jobs/6598833002
Snyk,Procurement Business Partner,Finance,Boston,https://boards.greenhouse.io/snyk/jobs/6524089002
Snyk,Revenue Accountant,Finance,"Boston, US West Coast, Remote in locations listed",https://boards.greenhouse.io/snyk/jobs/6628302002
Snyk,"Senior Manager, Sales Incentives",Finance,"Boston, US East Coast, Canada East Coast, Remote in locations listed",https://boards.greenhouse.io/snyk/jobs/6611288002
Snyk,General Counsel,Legal,Boston,https://boards.greenhouse.io/snyk/jobs/6606238002
Snyk,Customer Marketing Co-op,Marketing,Boston,https://boards.greenhouse.io/snyk/jobs/6613061002
Snyk,Demand Generation Marketing Co-op,Marketing,Boston,https://boards.greenhouse.io/snyk/jobs/6613066002
Snyk,Digital Marketing Intern (June-August 2023),Marketing,Boston,https://boards.greenhouse.io/snyk/jobs/6620527002
Snyk,"Director, Digital Marketing",Marketing,"Boston, US East Coast, Remote in locations listed",https://boards.greenhouse.io/snyk/jobs/6605799002
Snyk,"Regional (Field) Marketing Manager, Asia & India ",Marketing,"Singapore, Remote in locations listed",https://boards.greenhouse.io/snyk/jobs/6327061002
Snyk,Social Media Marketing Intern (June-August 2023),Marketing,Boston,https://boards.greenhouse.io/snyk/jobs/6613063002
Snyk,Employee Experience Intern (June-August 2023),People,Boston,https://boards.greenhouse.io/snyk/jobs/6623186002
Snyk,"Inclusion, Equity, Diversity and Belonging Co-op",People,Boston,https://boards.greenhouse.io/snyk/jobs/6623181002
Snyk,Talent Attraction Intern,People,Boston,https://boards.greenhouse.io/snyk/jobs/6623183002
Snyk,Talent Attraction Programs Co-op,People,Boston,https://boards.greenhouse.io/snyk/jobs/6623179002
Snyk,Data Analytics Intern,Product,Boston,https://boards.greenhouse.io/snyk/jobs/6619998002
Snyk,"Director, Product Management - Infrastructure Group",Product,"London, UK, Tel Aviv, Israel, Cluj, Romania, Remote in locations listed",https://boards.greenhouse.io/snyk/jobs/6635975002
Snyk,Documentation and User Content Intern (June-August 2023),Product,Boston,https://boards.greenhouse.io/snyk/jobs/6620000002
Snyk,Product Research Co-op,Product,Boston,https://boards.greenhouse.io/snyk/jobs/6620008002
Snyk,Senior Product Manager - Open Source Group,Product,"Cluj, Romania, Remote in locations listed",https://boards.greenhouse.io/snyk/jobs/6627292002
Snyk,Senior Product Manager - Snyk Code Group,Product,"Canada, Remote in locations listed",https://boards.greenhouse.io/snyk/jobs/6543255002
Snyk,"Customer Acquisition Account Executive, LATAM",Sales,"US East Coast, Remote in locations listed",https://boards.greenhouse.io/snyk/jobs/6618204002
Snyk,"Senior Implementation Consultant, APJ",Sales,"Singapore, Remote in locations listed",https://boards.greenhouse.io/snyk/jobs/6531284002
Snyk,"Senior Solutions Engineer, Japan ",Sales,"Japan, Remote in locations listed",https://boards.greenhouse.io/snyk/jobs/6622041002
Snyk,"Senior Technical Success Manager, ANZ",Sales,Sydney,https://boards.greenhouse.io/snyk/jobs/6623244002
Snyk,Technical Success Manager,Sales,"US West Coast, Remote in locations listed",https://boards.greenhouse.io/snyk/jobs/6555765002
Snyk,Business Analyst Intern (June-August 2023),Strategy & Operations,Boston,https://boards.greenhouse.io/snyk/jobs/6614016002
Snyk,Strategy & Operations Co-op,Strategy & Operations,Boston,https://boards.greenhouse.io/snyk/jobs/6612272002
