Company,Role,Team,Location,Job_URL
Socure,Senior Software Engineer,N/A,Remote - India,https://socure.wd1.myworkdayjobs.com/en-US/SocureCareers/job/Remote---India/Senior-Software-Engineer_JR33
Socure,Marketing Operations and Analytics Specialist,N/A,Remote - India,https://socure.wd1.myworkdayjobs.com/en-US/SocureCareers/job/Remote---India/Marketing-Operations-and-Analytics-Specialist_JR17
Socure,QA Engineering Manager,N/A,Remote - India,https://socure.wd1.myworkdayjobs.com/en-US/SocureCareers/job/Remote---India/QA-Engineering-Manager_JR24
Socure,Technical Support Engineer,N/A,Remote - India,https://socure.wd1.myworkdayjobs.com/en-US/SocureCareers/job/Remote---India/Technical-Support-Engineer_JR31-1
Socure,"Senior Manager, Software Engineering",N/A,Remote - India,https://socure.wd1.myworkdayjobs.com/en-US/SocureCareers/job/Remote---India/Senior-Manager--Software-Engineering_JR30
Socure,Staff Software Engineer,N/A,Remote - USA,https://socure.wd1.myworkdayjobs.com/en-US/SocureCareers/job/Remote---USA/Staff-Software-Engineer_JR29
Socure,"Senior Manager, Platform Engineering",N/A,Remote - USA,https://socure.wd1.myworkdayjobs.com/en-US/SocureCareers/job/Remote---USA/Senior-Manager--Platform-Engineering_JR25
Socure,Senior Software Engineer,N/A,Remote - India,https://socure.wd1.myworkdayjobs.com/en-US/SocureCareers/job/Remote---India/Senior-Software-Engineer_JR26
Socure,SVP Marketing,N/A,Remote - USA,https://socure.wd1.myworkdayjobs.com/en-US/SocureCareers/job/Remote---USA/SVP-Marketing_JR23
Socure,Business Systems Analyst,N/A,Remote - India,https://socure.wd1.myworkdayjobs.com/en-US/SocureCareers/job/Remote---India/Business-Systems-Analyst_JR21-1
Socure,Senior QA Engineer,N/A,Remote - India,https://socure.wd1.myworkdayjobs.com/en-US/SocureCareers/job/Remote---India/Senior-QA-Engineer_JR18
Socure,Technical Support Engineer,N/A,Remote - USA,https://socure.wd1.myworkdayjobs.com/en-US/SocureCareers/job/Remote---USA/Technical-Support-Engineer_JR15
Socure,Solution Consultant,N/A,Remote - USA,https://socure.wd1.myworkdayjobs.com/en-US/SocureCareers/job/Remote---USA/Solution-Consultant_JR14
Socure,"Senior Director Product Marketing, DocV",N/A,Remote - USA,https://socure.wd1.myworkdayjobs.com/en-US/SocureCareers/job/Remote---USA/Senior-Director-Product-Marketing--DocV_JR13
Socure,Strategic Account Manager,N/A,Remote - USA,https://socure.wd1.myworkdayjobs.com/en-US/SocureCareers/job/Remote---USA/Strategic-Account-Manager_JR9
Socure,Director of Strategic Alliances,N/A,Remote - USA,https://socure.wd1.myworkdayjobs.com/en-US/SocureCareers/job/Remote---USA/Director-of-Strategic-Alliances_JR6
