Company,Role,Team,Location,Job_URL
Stripe,"Account Executive, Cross Border China",Sales,Singapore,https://stripe.com/jobs/listing/account-executive-cross-border-china/4825307
Stripe,"Account Executive, Enterprise",Sales,Remote in United States,https://stripe.com/jobs/listing/account-executive-enterprise/4829603
Stripe,"Account Executive, Enterprise",Sales,New York,https://stripe.com/jobs/listing/account-executive-enterprise/4829603
Stripe,"Account Executive, Existing Business (Startups)",Sales,Chicago,https://stripe.com/jobs/listing/account-executive-existing-business-startups/4829705
Stripe,"Account Executive, Existing Business (Startups)",Sales,New York,https://stripe.com/jobs/listing/account-executive-existing-business-startups/4829705
Stripe,"Account Executive, Existing Business (Startups)",Sales,South San Francisco HQ,https://stripe.com/jobs/listing/account-executive-existing-business-startups/4829705
Stripe,"Account Executive, Growth",Sales,London,https://stripe.com/jobs/listing/account-executive-growth/4885405
Stripe,"Account Executive, Platforms",Sales,New York,https://stripe.com/jobs/listing/account-executive-platforms/4861477
Stripe,"Account Executive, Platforms",Sales,South San Francisco HQ,https://stripe.com/jobs/listing/account-executive-platforms/4861477
Stripe,"Account Executive, Platforms",Sales,Chicago,https://stripe.com/jobs/listing/account-executive-platforms/4861477
Stripe,"Account Executive, Platforms",Sales,Sydney,https://stripe.com/jobs/listing/account-executive-platforms/4522159
Stripe,"Account Executive, Platforms",Sales,Remote in United States,https://stripe.com/jobs/listing/account-executive-platforms/4861477
Stripe,"Account Executive, Platforms",Sales,Seattle,https://stripe.com/jobs/listing/account-executive-platforms/4861477
Stripe,"Account Executive, SMB",Sales,South San Francisco HQ,https://stripe.com/jobs/listing/account-executive-smb/4899569
Stripe,"Account Executive, Startups and SMB Japan",Sales,Tokyo,https://stripe.com/jobs/listing/account-executive-startups-and-smb-japan/4840374
Stripe,"Account Executive, Strategic",Sales,New York,https://stripe.com/jobs/listing/account-executive-strategic/4840358
Stripe,Accounting Analyst,Controllership,Bengaluru,https://stripe.com/jobs/listing/accounting-analyst/4204149
Stripe,"Advisory Solutions Architect, Enterprise UK",Technical Services,London,https://stripe.com/jobs/listing/advisory-solutions-architect-enterprise-uk/4889290
Stripe,"Advisory Solutions Architect, Enterprise UK",Technical Services,Remote in Great Britain,https://stripe.com/jobs/listing/advisory-solutions-architect-enterprise-uk/4889290
Stripe,"Android Engineer, Device Platform",Terminal,Remote in United States,https://stripe.com/jobs/listing/android-engineer-device-platform/4853373
Stripe,"Android Engineer, Device Platform",Terminal,Remote in Canada,https://stripe.com/jobs/listing/android-engineer-device-platform/4853373
Stripe,Associate Solutions Architect,Technical Services,Chicago,https://stripe.com/jobs/listing/associate-solutions-architect/4901735
Stripe,Associate Solutions Architect,Technical Services,Dublin HQ,https://stripe.com/jobs/listing/associate-solutions-architect/4890456
