Company,Role,Team,Location,Job_URL
TripActions,"Account Manager, Commercial ",Customer Success,"New York, NY",https://navan.com/careers/openings/4866651?gh_jid=4866651
TripActions,"Account Manager, Commercial ",Customer Success,"Salt Lake City, UT",https://navan.com/careers/openings/4869027?gh_jid=4869027
TripActions,"Account Manager, Commercial ",Customer Success,"Austin, TX",https://navan.com/careers/openings/4869023?gh_jid=4869023
TripActions,"Account Manager, Commercial, EMEA",Customer Success,"London, UK",https://navan.com/careers/openings/4898526?gh_jid=4898526
TripActions,"Account Manager, Mid Market",Customer Success,"Palo Alto, CA or San Francisco, CA",https://navan.com/careers/openings/4892048?gh_jid=4892048
TripActions,"Account Manager, Mid Market",Customer Success,"Austin, TX",https://navan.com/careers/openings/4892046?gh_jid=4892046
TripActions,"Account Manager, Mid Market",Customer Success,"New York, NY",https://navan.com/careers/openings/4892024?gh_jid=4892024
TripActions,"Account Manager, Mid-Market, EMEA",Customer Success,"London, UK",https://navan.com/careers/openings/4898546?gh_jid=4898546
TripActions,"Analyst, Credit Risk Management Operations",Finance,"Gurugram, IN",https://navan.com/careers/openings/4833134?gh_jid=4833134
TripActions,Application Systems Engineer,Business Technology,"Palo Alto, CA",https://navan.com/careers/openings/4864582?gh_jid=4864582
TripActions,Back-End Engineer,Engineering,"Palo Alto, CA",https://navan.com/careers/openings/4733134?gh_jid=4733134
TripActions,Back-End Engineer,Engineering,"Tel-Aviv, Israel",https://navan.com/careers/openings/4749377?gh_jid=4749377
TripActions,Collections Analyst ,Finance,"Dallas, TX",https://navan.com/careers/openings/4891573?gh_jid=4891573
TripActions,Collections Intern,Finance,"Dallas, TX",https://navan.com/careers/openings/4858687?gh_jid=4858687
TripActions,Commercial Account Executive,Sales,"New York, NY",https://navan.com/careers/openings/4883379?gh_jid=4883379
TripActions,Commercial Account Executive,Sales,"Austin, TX",https://navan.com/careers/openings/4883369?gh_jid=4883369
TripActions,"Commercial Account Executive, DACH ",Sales,"Berlin, Germany",https://navan.com/careers/openings/4132566?gh_jid=4132566
TripActions,"Commercial Account Executive, Expense",Sales,"New York, NY",https://navan.com/careers/openings/4891728?gh_jid=4891728
TripActions,Commercial Account Executive - London,Sales,"London, UK",https://navan.com/careers/openings/4126968?gh_jid=4126968
TripActions,Commercial Counsel ,Legal,"Salt Lake City, UT",https://navan.com/careers/openings/4714811?gh_jid=4714811
TripActions,Commercial Counsel ,Legal,"Seattle, WA",https://navan.com/careers/openings/4714812?gh_jid=4714812
TripActions,Commercial Counsel ,Legal,"Palo Alto, CA or San Francisco, CA",https://navan.com/careers/openings/4784436?gh_jid=4784436
TripActions,Commercial Counsel ,Legal,"New York, NY",https://navan.com/careers/openings/4714772?gh_jid=4714772
TripActions,Commercial Counsel ,Legal,"Austin, TX",https://navan.com/careers/openings/4714809?gh_jid=4714809
TripActions,Commercial Counsel ,Legal,"Dallas, TX",https://navan.com/careers/openings/4714810?gh_jid=4714810
