Company,Role,Team,Location,Job_URL
Vercel,"Account Executive, Mid-Market ",N/A,United States,https://vercel.com/careers/account-executive-mid-market-us-4768433004
Vercel,"Director of Sales Engineering, US East",N/A,"United States, Germany, United Kingdom",https://vercel.com/careers/director-of-sales-engineering-us-east-uk-us-4808049004
Vercel,"Enterprise Account Executive, AMER",N/A,United States,https://vercel.com/careers/enterprise-account-executive-amer-us-4765803004
Vercel,"Enterprise Account Executive, Australia",N/A,Australia,https://vercel.com/careers/enterprise-account-executive-australia-4346323004
Vercel,"Enterprise Account Executive, Europe",N/A,"Germany, United Kingdom",https://vercel.com/careers/enterprise-account-executive-europe-uk-4235041004
Vercel,"Full Stack Engineer, Analytics",N/A,"Germany, United Kingdom",https://vercel.com/careers/full-stack-engineer-analytics-uk-4806784004
Vercel,Infrastructure Engineer,N/A,United States,https://vercel.com/careers/infrastructure-engineer-us-4159198004
Vercel,"Mid-Market Account Executive, Europe",N/A,"Germany, United Kingdom",https://vercel.com/careers/mid-market-account-executive-europe-uk-4180390004
Vercel,"Principal Engineer, AI",N/A,United States,https://vercel.com/careers/principal-engineer-ai-us-4808680004
Vercel,Sales Development Representative,N/A,United States,https://vercel.com/careers/sales-development-representative-us-4783855004
Vercel,"Sales Development Representative, Australia ",N/A,Australia,https://vercel.com/careers/sales-development-representative-australia-4713832004
Vercel,"Sales Development Representative, Enterprise, Europe",N/A,"Germany, United Kingdom",https://vercel.com/careers/sales-development-representative-enterprise-europe-uk-4646256004
Vercel,"Sales Development Representative, Mid Market Europe",N/A,"Germany, United Kingdom",https://vercel.com/careers/sales-development-representative-mid-market-europe-uk-4717737004
Vercel,"Sales Engineer, Europe",N/A,"Germany, United Kingdom",https://vercel.com/careers/sales-engineer-europe-uk-4182467004
Vercel,Senior Accountant,N/A,United States,https://vercel.com/careers/senior-accountant-us-4799018004
Vercel,"Senior Manager, Learning & Development (East Coast)",N/A,"United States, Germany, United Kingdom",https://vercel.com/careers/senior-manager-learning-and-development-east-coast-uk-us-4810940004
Vercel,"Senior Product Manager, Next.js",N/A,United States,https://vercel.com/careers/senior-product-manager-next-js-us-4163976004
Vercel,"Senior Product Manager, Next.js, Europe",N/A,"Germany, United Kingdom",https://vercel.com/careers/senior-product-manager-next-js-europe-uk-4434286004
Vercel,Senior Social Media Manager,N/A,United States,https://vercel.com/careers/senior-social-media-manager-us-4811110004
Vercel,Strategic Account Executive,N/A,United States,https://vercel.com/careers/strategic-account-executive-us-4800798004
Vercel,"Systems Engineer, Compute",N/A,Germany,https://vercel.com/careers/systems-engineer-compute-4808676004
Vercel,Technical Program Manager,N/A,"United States, Germany, United Kingdom",https://vercel.com/careers/technical-program-manager-uk-us-4758834004
Vercel,"Technical Program Manager, Europe",N/A,"United States, Germany, United Kingdom",https://vercel.com/careers/technical-program-manager-europe-uk-us-4805451004
Vercel,Vercel General Application ,N/A,"United States, Germany, United Kingdom",https://vercel.com/careers/vercel-general-application-uk-us-4569242004
