Company,Role,Team,Location,Job_URL
Yotpo,,General Interest,,
Yotpo,,Partners,,
Yotpo,Sales Development Representative - French Speaking,Sales," London, UK",https://www.yotpo.com/careers/gid-4740314/
Yotpo,Account Manager,Sales," Sydney, AUS",https://www.yotpo.com/careers/gid-4794926/
Yotpo,Account Executive,Sales," Sydney, AUS",https://www.yotpo.com/careers/gid-4879304/
Yotpo,Sales Development Representative (SDR),Sales," Sydney, AUS",https://www.yotpo.com/careers/gid-4154593/
Yotpo,Director of Customer Success Operations,Revenue Operations," New York, US",https://www.yotpo.com/careers/gid-4812551/
Yotpo,Delivery Operations Manager,Revenue Operations," Tel-Aviv, IL",https://www.yotpo.com/careers/gid-4866090/
Yotpo,Director of Revenue Operations,Revenue Operations," New York, US",https://www.yotpo.com/careers/gid-4892079/
Yotpo,Associate Ops Manager,Revenue Operations," Tel-Aviv, IL",https://www.yotpo.com/careers/gid-4861585/
Yotpo,Customer Success Manager,Customer Success," Sydney, AUS",https://www.yotpo.com/careers/gid-4793998/
Yotpo,"Manager, Customer Success (AU)",Customer Success," Sydney, AUS",https://www.yotpo.com/careers/gid-4795195/
Yotpo,Client Success Manager,Customer Success," Tel-Aviv, IL",https://www.yotpo.com/careers/gid-4838617/
Yotpo,Legal Counsel,Legal," New York, US",https://www.yotpo.com/careers/gid-4813919/
Yotpo,,Delivery,,
Yotpo,Facilities Manager,Finance," Tel-Aviv, IL",https://www.yotpo.com/careers/gid-4815522/
Yotpo,Senior Bookkeeper,Finance," Tel-Aviv, IL",https://www.yotpo.com/careers/gid-4897879/
Yotpo,Employee Experience Specialist (Temp-Maternity leave),Human Resources," Tel-Aviv, IL",https://www.yotpo.com/careers/gid-4810348/
Yotpo,Cloud Security Engineer,Information & Security," Tel-Aviv, IL",https://www.yotpo.com/careers/gid-4749173/
Yotpo,Global IT Director,Information & Security," Tel-Aviv, IL",https://www.yotpo.com/careers/gid-4773444/
Yotpo,"Director of Marketing, APAC",Marketing," Sydney, AUS",https://www.yotpo.com/careers/gid-4757811/
Yotpo,Product Manager,Product," Sofia, BG",https://www.yotpo.com/careers/gid-3006331/
Yotpo,Director of Product Design,Product," Tel-Aviv, IL",https://www.yotpo.com/careers/gid-4793099/
Yotpo,Senior Product Designer,Product," Sofia, BG",https://www.yotpo.com/careers/gid-4242702/
Yotpo,Full-Stack Developer,R&D," Sofia, BG",https://www.yotpo.com/careers/gid-2954541/
Yotpo,Experienced Full Stack Developer,R&D," Sofia, BG",https://www.yotpo.com/careers/gid-4414577/
Yotpo,Junior Big Data Developer - Machine Learning,R&D," Tel-Aviv, IL",https://www.yotpo.com/careers/gid-4497904/
Yotpo,R&D Team leader,R&D," Tel-Aviv, IL",https://www.yotpo.com/careers/gid-4506810/
Yotpo,Senior Full Stack Engineer,R&D," Sofia, BG",https://www.yotpo.com/careers/gid-4796684/
Yotpo,Experienced Full Stack Engineer,R&D," Tel-Aviv, IL",https://www.yotpo.com/careers/gid-4816146/
Yotpo,Backend Engineer,R&D," Yokneam, IL",https://www.yotpo.com/careers/gid-4898514/
Yotpo,Backend Engineer,R&D," Tel-Aviv, IL",https://www.yotpo.com/careers/gid-4900170/
